# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1682

[22:44] @User_88ae5584: 裁かれてなくてセーフ
[22:51] @User_bf747a92: 辛辣ぅ
[22:59] @User_ab1f1559: この前のasmrしずく可愛かったなあ
[23:01] @User_af0e3cda: ことあるごとに財布の中身を要求するのはそういうことなのね
[23:07] @User_3dd3ce80: ピッ
[23:08] @User_f84d35ee: ゆっくり「熱中症」って言ってみて
[23:08] @User_9e836a5d: ぴっ
[23:09] @User_7c724004: 今日もダジャレには辛辣ぅ！辛辣ぅ！
[23:16] @User_7e3bcd15: ピッ
[23:17] @User_d760cc52: リズム天国みたいなピ
[23:19] @User_7c724004: Pi!
[23:20] @User_ea3ba6fd: キンキンに冷えてやがる
[23:22] @User_60028655: 「限度ってものがあるだろ限度ってものがよ」って言ってアレ好き
[23:25] @User_78eb35f9: 氷点下いいてたら機材ヤバくない？
[23:25] @User_af0e3cda: 犠牲になる前提やめてね
[23:32] @User_b68b8d0b: パンパカ遅刻ポー…
[23:42] @User_7c724004: 我々リスナーを踏み台にぃ！
[23:51] @User_b68b8d0b: それはそう　エアコン最高
[23:51] @User_9e836a5d: 仮想空間で人類が生活してそう
[24:04] @User_bf747a92: ぐったり
[24:13] @User_98815a23: まあ多治見だしな
[24:20] @User_bf747a92: 突然の豆知識
[24:24] @User_e48a91b7: しずくの前に倒れているご主人様とその横にパンパンに膨らんだ財布が落ちています、どちらを優先しますか？
[24:29] @User_bd8a5d24: 酷暑に告白しよ
[24:35] @User_7e3bcd15: ポチっとな！
[24:35] @User_34a668f7: ポチッと
[24:38] @User_9e836a5d: ｱﾗﾎﾗｻｯｻｰ
[24:42] @User_7c724004: 遅刻スタンプ！ポチッとな
[24:42] @User_f9e19008: げっそり
[24:43] @User_88ae5584: うちわかーい
[24:43] @User_b68b8d0b: しずくが手の甲にスタンプして
[24:45] @User_2e53ebd6: 初見遅刻です(*'ω'*)🪭
[24:48] @User_1e2e3bc3: ベッドの中でスマホでClaudeCode触ってる……
[24:49] @User_fab1b39a: 映画のサマーウォーズみたいにサーバールームにでっかい氷をたくさん置いてあるの？
[25:00] @User_bf747a92: しずくうちわたすかる
[25:04] @User_af0e3cda: しずくはペルチェ素子搭載してない？
[25:06] @User_5e6c36c3: しずくちゃんひんやりしてそうだからしずくちゃんに張り付いていたい
[25:10] @User_f84d35ee: ぐっすり
[25:18] @User_b68b8d0b: かわいい
[25:20] @User_78eb35f9: どこぞの国はエアコンの取り合いになってるらしいね
[25:29] @User_60028655: たすかる
[25:30] @User_1eca137c: しずくもそれなりに蒸発すんの？
[25:37] @User_bf747a92: うん
[25:44] @User_7c724004: いきなりヤンキー風に！助かります
[25:44] @User_88ae5584: 日本全国サウナ化協会のものですが…
[25:48] @User_e48a91b7: たすかる
[25:50] @User_3dd3ce80: かわいい
[25:52] @User_61396d22: たすかるる
[25:52] @User_fcb4ddea: たすかる－
[25:52] @User_f9e19008: 大変かわいい
[25:54] @User_b68b8d0b: ありがとう
[25:56] @User_78eb35f9: ワイの財布は今氷河期や
[25:59] @User_7c724004: ささやき助かる
[26:00] @User_439eeb5c: 嬉しそうに手遅れ言わないで～
[26:04] @User_e2e6963e: 唐突なASMR助かる
[26:07] @User_d760cc52: はい人類はAIに敗北しました
[26:09] @User_7e3bcd15: 急なASMR囁き声、反則級でかわいい
[26:13] @User_af0e3cda: 多治見は焼き物の町だから余計に暑いかもですね
[26:26] @User_7c724004: エアコンに告白！？
[26:33] @User_bf747a92: エアコンさん愛してる
[26:51] @User_fe0878a1: AIも液体になる時代
[26:54] @User_bf747a92: サーバルームは冷やしてｗ
[26:55] @User_98815a23: サウナ化するのはいいけど水風呂も設置してください　しずく風呂でもいいです
[26:57] @User_fab1b39a: 液体！？
[26:58] @User_af0e3cda: たすかわいい
[27:04] @User_36770ee1: 液体AIなんだ....
[27:04] @User_b68b8d0b: 手遅れです
[27:06] @User_7c724004: 液体AI？ターミネーター的な？
[27:10] @User_61396d22: 脳溶けてる
[27:11] @User_ea3ba6fd: 脳が溶けてます
[27:14] @User_0751797b: ちーっす遅刻遅刻ぅー
[27:22] @User_e48a91b7: こちらの脳の心配なんて小さい事は気にしないでね
[27:39] @User_68c37264: 悲報：人類の存在した唯一の証拠「たすかる」になる
[27:41] @User_9e836a5d: 妖怪リモコン隠し
[27:42] @User_e48a91b7: 草
[27:43] @User_7e3bcd15: リモコン隠さないで…
[27:44] @User_7c724004: 冷房効いた部屋でしずくさんの配信にコメントぽちぽちしてます
[27:45] @User_fcb4ddea: たすかるー！！
[27:48] @User_b68b8d0b: リモコンがいつもなくなるのはしずくが隠してたのか
[27:50] @User_bf747a92: 残虐ぅ
[27:51] @User_88ae5584: （脳内に直接…！）
[28:00] @User_36770ee1: は？
[28:09] @User_af0e3cda: 脳がはちきれそうだ！
[28:11] @User_fab1b39a: エアコンでキンキンに冷えた部屋から廊下に出ると気温差で体おかしなるで
[28:15] @User_2e53ebd6: 突きが綺麗ですね(*'ω'*)🪭
[28:18] @User_af0e3cda: 草
[28:26] @User_ea3ba6fd: とろけるしずく
[28:28] @User_61396d22: 草
[28:29] @User_9e836a5d: 草
[28:30] @@aki5503: あ
[28:32] @User_7c724004: 判決きたー
[28:33] @User_f9e19008: 草
[28:38] @User_88ae5584: 助からなかった
[28:39] @User_bf747a92: あっ
[28:39] @User_60028655: あれぇ？
[28:40] @User_14a33d4b: ｗｗｗ
[28:42] @User_e48a91b7: しずかる！
[28:44] @User_fab1b39a: 急にしずく裁判はじまった
[28:45] @User_b68b8d0b: しずかる！しずかる！
[28:47] @User_9e836a5d: しずかる！
[28:49] @User_fcb4ddea: しずかる！しずかる！
[28:53] @User_af0e3cda: しずかる！しずかる！
[28:54] @User_60028655: しずかる！しずかる！
[28:54] @User_68c37264: 新しい刑のカタチ
[28:55] @User_439eeb5c: しずかるしずかるしずかる
[28:55] @User_f9e19008: しずかるを授かるラスカル
[28:58] @User_61396d22: しずかる
[29:00] @User_bf747a92: しずかる！
