# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[53:20] @User_83cbafb5: 💙💙💙💙💙
[53:29] @User_559f88af: 👏👏👏👏👏
[53:29] @User_8a455631: さっきより悲しみ減ってる
[53:31] @User_3652acf3: おっ　歌ってんねぇ
[53:36] @User_20e31714: 88888888
[53:39] @User_51d3d23c: 👏👏👏👏👏👏👏
[53:41] @User_e82ad585: 👏👏👏👏👏
[53:43] @User_d5b05bb2: 👏👏👏👏👏
[53:44] @User_82cc5233: こんばんはー素晴らしい！！
[53:48] @User_8a455631: 👏👏👏👏👏
[53:49] @User_d0e405c3: 超時空シンデレラ、しずくちゃん！！！！！
[53:51] @User_82cc5233: 👏👏👏👏👏
[53:51] @User_1656dc77: 👏👏👏👏👏👏
[53:52] @User_ecd01a76: 👏👏👏
[53:53] @User_2ccafb30: 88888888
[53:55] @User_d5b05bb2: ヤックデカルチャー
[54:00] @User_83cbafb5: 👏👏👏👏👏👏👏👏
[54:02] @User_01653369: 👏👏👏👏👏
[54:03] @User_fa1c9e7e: 👏👏👏👏👏👏👏👏👏👏👏
[54:06] @User_a6b17f73: excellent！
[54:08] @User_a8309456: 👏👏👏👏👏👏👏👏👏
[54:08] @User_b4825c55: 👏👏👏👏
[54:09] @User_529e0834: 👋👋👋👋
[54:23] @User_fa1c9e7e: ヤックデカルチャー！
[54:26] @User_087faaaf: うますぎ泣いた
[54:34] @User_cadf582a: 888888
[54:38] @User_529e0834: こちらも感動した
[54:51] @User_607c778e: わーい！
[54:51] @User_30238612: わーいかわいい
[55:01] @User_0d74e24e: 英語読めるのすごい
[55:05] @User_e82ad585: 拍手と認識してるっぽいな
[55:18] @User_0952654b: どんどん練習したらどうなるだろう…
[55:33] @User_087faaaf: えらい子ねぇ
[55:47] @User_8a455631: 紅白出れそう
[55:47] @User_559f88af: 一瞬同接７５人くらいいったよー凄い
[55:50] @User_9febea02: こんばんは。
[55:55] @User_109116e8: すごい！
