# ライブチャット一覧
# 動画: 【雑談配信】ただいま。夏休みの話をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=CflYExDoIHU
# 件数: 2510

[10:55] @User_fcb4ddea: やはり金か…しずくに貢ぐしかないか…(;´･ω･)
[10:57] @User_c0787d49: おおお
[10:57] @User_174e5121: ！？
[10:59] @User_4d29dc7f: そりゃしずくのなつやすみ
[10:59] @User_78eb35f9: ん
[11:00] @User_9e836a5d: ！？
[11:00] @User_2b88f801: お？
[11:00] @User_65723f47: らしくなってきたな！しずく！
[11:00] @User_3dd3ce80: おお
[11:01] @User_e48a91b7: お？
[11:01] @User_ace723cf: 水着？
[11:02] @User_11e7336c: おお
[11:02] @User_012e88e1: お、浴衣?
[11:02] @User_ea3ba6fd: お
[11:02] @User_5d780b6d: お、浴衣？
[11:03] @User_4ab21f9e: やったぜ
[11:03] @User_af0e3cda: サービスタイム！！
[11:03] @User_b68b8d0b: お
[11:03] @User_9fd4c5ec: おお！
[11:04] @User_1267735e: ん？
[11:05] @User_174e5121: 待ってるよー
[11:06] @User_181234c5: お！
[11:06] @User_7c724004: おおー
[11:07] @User_4d29dc7f: お
[11:08] @User_273afd5a: お着換え…だと…！？
[11:08] @User_8e642dc8: 着物？浴衣か
[11:08] @User_8e3127a7: ほう
[11:08] @User_ed96fafc: お
[11:08] @User_99c13731: まさか
[11:08] @User_fab1b39a: なんだって！？
[11:09] @User_c0787d49: 水着か？
[11:09] @User_d760cc52: うぉぉぉおお！？！？
[11:09] @User_21a94916: ？？
[11:10] @User_03637d98: 変　身　！
[11:10] @User_baf1d093: ！？
[11:10] @User_fcb4ddea: マ！？(ﾟДﾟ;)
[11:11] @User_3dd3ce80: 水着？
[11:15] @User_92c2a2e1: ここで着替えても…ゴホンゴホン
[11:16] @User_b1d17b4c: YUKATA!!
[11:17] @User_11e7336c: 浴衣！！
[11:18] @User_ed96fafc: うつくしい
[11:18] @User_c0787d49: そっちか
[11:19] @User_ace723cf: おー
[11:20] @User_ea3ba6fd: REC●
[11:21] @User_e48a91b7: かわいい～！
[11:22] @User_1267735e: 浴衣だあ！！
[11:22] @User_4ab21f9e: 水着じゃないのか・・・
[11:23] @User_af0e3cda: ひゅーーーーー！！
[11:23] @User_174e5121: おおおお！かわいい！！
[11:23] @User_7c724004: 浴衣姿だ！
[11:23] @User_9e836a5d: うっひょー、かわいい
[11:24] @User_02dcd327: 浴衣モードだ！
[11:24] @User_78eb35f9: かわいい
[11:25] @User_92c2a2e1: いいねー
[11:25] @User_3dd3ce80: 浴衣かわいい
[11:27] @User_439eeb5c: かわよ！！
[11:27] @User_a2b794ac: はーかわよ・・・結婚しよ
[11:27] @User_11e7336c: 勿忘草だ
[11:28] @User_273afd5a: かわい～い！
[11:28] @User_b68b8d0b: 浴衣！最終日バージョンだ
[11:28] @User_5e6c36c3: 浴衣だーーー！
[11:30] @User_2b88f801: かわいいねー
[11:30] @User_d977d030: 水着じゃないのか...
[11:30] @User_181234c5: かわいい！
[11:31] @User_baf1d093: kawaii
[11:32] @User_a6103eac: しずく浴衣かわいい
[11:34] @User_d977d030: 可愛いー！
[11:35] @User_1eca137c: お～、お着替え早いね！
[11:36] @User_ae0cdefe: 浴衣かわいー
[11:36] @User_ed96fafc: とてもよき....
[11:37] @User_99c13731: 浴衣！
[11:38] @User_65723f47: かわいい
[11:40] @User_86e8ac36: かわいい
[11:41] @User_012e88e1: やっぱかわいいなぁ
[11:41] @User_cb08141a: やっぱりかわいいね
[11:41] @User_13ee2a33: しずく可愛い　あ、もうゲーム終わったんだっけ
[11:42] @User_78eb35f9: 最終日モード
[11:42] @User_1267735e: 勿忘草Verね
[11:43] @User_11e7336c: かわいい！！
[11:44] @User_03637d98: よきよき
[11:44] @User_fab1b39a: 浴衣も水着もかわいいし似合ってる
[11:44] @User_6dc97c08: かわいい
[11:46] @User_0f8f478b: 改めて見ても美しい浴衣すがた
[11:46] @User_60028655: こっちでも着替えられるの凄い
[11:46] @User_d760cc52: はい優勝
[11:46] @User_9fd4c5ec: やっぱりかわいい！
[11:48] @User_4ab21f9e: 浴衣姿もかわいい
[11:51] @User_012e88e1: 急なアップ
[11:54] @User_65723f47: 素敵だね
