# ライブチャット一覧
# 動画: 【雑談配信】AIと配信企画会議をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=Ic3s_vaiM5U
# 件数: 1134

[-30:55] @User_21d27dd1: 待機〜
[29:48] @User_ab1f1559: あーあ壊れちゃったよ
[29:50] @User_fcb4ddea: ループ助かる
[29:50] @User_59f59025: あっ
[29:52] @User_b68b8d0b: ダチョウ倶楽部かな
[29:53] @User_8f797190: なおった
[29:53] @User_92c2a2e1: 止まった
[29:53] @User_d591add1: ループさせるのやめろ。
[29:57] @User_30e430df: おかえり
[29:57] @User_dbc9a8dc: お、堪えた
[29:59] @User_af0e3cda: ちゃんと終わらせた
[30:02] @User_36770ee1: ギリギリセーフ化
[30:12] @User_36770ee1: あっ
[30:15] @User_b7d2f74d: ？？ｗ
