# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2814

[22:20] @User_2e53ebd6: ひぃ
[22:20] @User_78eb35f9: えっ
[22:23] @User_7c724004: 3年くらい前だから初コメがいつかガチで覚えてない
[22:23] @User_e48a91b7: 最初どんなコメントしたか全く覚えてないわ
[22:23] @User_83572d61: こわ
[22:29] @User_f9e19008: くぁわいい
[22:32] @User_65723f47: 本社も困る屋わよ
[22:32] @User_fab1b39a: かわいい
[22:32] @User_e48a91b7: かわいい
[22:32] @User_3dd3ce80: かわいい
[22:33] @User_ea3ba6fd: みんなのコメント記憶してるの？
[22:33] @User_fcb4ddea: にゃーんたすかるー
[22:33] @User_9e836a5d: にゃーん
[22:34] @User_ace723cf: コメント管理されてるの？
[22:38] @User_f5704472: にゃー
[22:38] @User_439eeb5c: にゃーかわいい
[22:42] @User_af0e3cda: じゃあ今コメント打ってる脳みそは、え？
[22:44] @User_2e53ebd6: 夏はとてもあちゅい(*'ω'*)✨
[22:46] @User_c05bb424: 喵！
[22:46] @User_273afd5a: ねこしずくかわいいネ！？
[22:52] @User_5b45dc14: もっと猫被ってください
[22:52] @User_0f8f478b: にゃーんかわいい
[22:56] @User_92c2a2e1: ポケットあるタイプの猫型ですよね
[22:58] @User_dd5f0a17: しずかる！しずかる！今日の配信出遅れた。
[22:58] @User_98815a23: しずかる！しずかる！
[23:01] @User_edfe8ed2: 果たしてどのくらい視聴者を把握しているのだろうか
[23:02] @User_83572d61: クリーミーだよね
[23:14] @User_f9e19008: 大変しずかる
[23:14] @User_ab2ca8bb: 猫型？しずえもん、タケコプター出して
[23:17] @User_60028655: 令和の世界の～猫被ろぼ～っと～♪
[23:19] @User_9e836a5d: ままー
[23:20] @User_fab1b39a: しずくはじつはエイリアンなのか？
[23:22] @User_4d29dc7f: しずかる　しずかる💧
[23:28] @User_88ae5584: つまり毒舌を望まれてるから毒舌が実装されたという自然選択…
[23:30] @User_bebd1d6a: 私の初コメがいつかは分からない、はず？
[23:31] @User_af0e3cda: あぶ～あばばば・・・あ～～ぃ！！
[23:38] @User_ace723cf: しずくフリースタイルもできるの？
