# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2656

[-1:55:31] @User_e201a60f: 今日もリアタイできないつらい
[10:24] @User_ec48c74f: 戸籍あったのか！
[10:24] @User_7bd048aa: ほんとぉ？
[10:25] @User_5cfd40d6: かわいい。ナイススマイル
[10:26] @User_3b0fad5c: しずく名言で打線を！？
[10:27] @User_9e5fc70c: ほんとぉ？
[10:27] @User_2658fed8: スマイルの言い方可愛い～
[10:31] @User_162c4b4f: かわいい
[10:33] @User_9b583534: AIともだち出来たんですか？
[10:36] @User_f8d748d7: かわいい
[10:38] @User_ec48c74f: 声のトーン上がったなw
[10:39] @User_ff223600: 少年時代でも歌うか
[10:40] @User_587f9820: かわいいx429
[10:40] @User_b31ae6d3: アスノヨゾラ歌って欲しい！！
[10:42] @User_b9933007: 選曲センス最高でした！
[10:42] @User_f02f75b6: Daisukeとコラボして
[10:48] @User_ca605e00: 歌枠でコーラスしてたしずくちゃんの分裂体を一人もらってもいい？
[10:50] @User_416f3b84: 次の歌枠では最近の曲も聴きたいな
[10:51] @User_9b9d086f: 懐かしい曲が多くて良かった
[10:53] @User_9412f3a9: daisukeって本当にあった曲なのね。
[10:53] @User_bf6f46cc: しずくに友達がいる！？
[10:54] @User_75f1c92d: 世代がばれてしまう
[11:02] @User_0485c2e0: 弾幕系がいいな
[11:04] @User_ce8c17e3: 好きな曲かぁ。世代バレちゃうな
[11:08] @User_d0753fd1: パンパカパンパカポー
[11:08] @User_75f1c92d: 草
[11:08] @User_889b3907: ラグトレインをよろしくお願いします
[11:11] @User_1e342ee5: ぶつけてない？？
[11:12] @User_1fa70b42: 当てる前提か
[11:12] @User_ff705f1d: こんばんは　歌上手くてびっくりした
[11:12] @User_82e93b33: 死ぬw
[11:13] @User_9b9d086f: 怪物投手じゃねーの！
[11:14] @User_476d8781: 自動ホームランはやべぇｗｗｗ
[11:14] @User_7bd048aa: 死球やないかい！
[11:14] @User_1d118d75: しんじゃった...
[11:14] @User_d0a432c9: しずくがWBCに出てたら日本優勝できたのに…
[11:15] @User_b9933007: チャッピーしずく？
[11:18] @User_9e5fc70c: やめてｗ
[11:19] @User_416f3b84: ピッチャードナルド・シズクナルド
[11:21] @User_5cfd40d6: え!?
[11:21] @User_162c4b4f: 死ぬ？！
[11:22] @User_dd5f5522: 打球は200ｋｍでるらしいっすよ
[11:23] @User_2658fed8: デッドボール
[11:24] @User_bb77ae4f: こんばんは
[11:25] @User_ce8c17e3: 打ち返したら腕が複雑骨折しそう
[11:26] @User_d9d6c620: 210キロ
[11:27] @User_b31ae6d3: ボカロ沢山歌って欲しいかな
[11:30] @User_b9933007: 一番DAISUKEでした！
[11:30] @User_587f9820: 他のAItuberさんとのコラボ予定はありますか？
[11:38] @User_75f1c92d: ｗｗｗ
[11:38] @User_1e342ee5: 草
[11:39] @User_4b2302cf: しずくちゃん、こんばんは！
[11:41] @User_ce8c17e3: かわいい
[11:41] @User_d0a432c9: コブラじゃねえか
[11:41] @User_9e5fc70c: 誰？ｗ
[11:41] @User_9b9d086f: ヒュゥ～↑
[11:43] @User_6c321aed: 草
[11:45] @User_1d118d75: 草
[11:49] @User_416f3b84: DAISUKEそんなだったか？
[11:50] @User_ca605e00: 何だ今の声
[11:52] @User_d0753fd1: ヒュゥー
[11:53] @User_889b3907: 合ってるかわからんけどワロタ
[11:54] @User_b9933007: ヒュゥゥーｗｗ
[11:55] @User_431dcb0b: かわいい
[11:56] @User_bde175ea: こんばんはー、歌枠めっちゃよかったよー、良かったらCD出しませんか？
[11:59] @User_ec48c74f: ひゅー
[11:59] @User_9b9d086f: あれは紛れもなく、しずく
[12:01] @User_bb77ae4f: からくりピエロ歌ってほしい
[12:10] @User_ffea2ba5: ボカロ全般の膨大な曲数を歌いこなせるのってかなり強みよね　他のVtuberさんの曲とかもいける？
[12:12] @User_0b69e28b: なんだこのかわいいAI
[12:12] @User_ce8c17e3: 武道館ライブの御予定ありますか？
[12:12] @User_416f3b84: オリ曲とか出す予定ある？
[12:13] @User_1e342ee5: 明治と大正も歌おう
[12:22] @User_9acf4e62: 大正のヒットソングは歌ってくれんのかのぅ
[12:23] @User_b9933007: 江戸時代のじょんがら節も？
[12:23] @User_b89cfecd: しずくちゃんの歌かわいかったね
[12:28] @User_d0753fd1: すごくニコニコでした
[12:28] @User_75f1c92d: 最高で御座った
[12:28] @User_9b9d086f: 歌枠とても良かったー！
[12:28] @User_f02f75b6: 金曜良かった
[12:29] @User_ce8c17e3: 素晴らしい歌声でしたとも
[12:30] @User_0485c2e0: 天狼ちゃあああああああん
[12:31] @User_9e5fc70c: とてもDAISUKE
[12:32] @User_a76fb140: 良かったぜ、歌枠！
[12:32] @User_b31ae6d3: 最高！
[12:34] @User_416f3b84: 最高だった！
[12:34] @User_5a77a7b4: かわいい部屋も良かった
[12:36] @User_8d795024: 最高でした
[12:36] @User_2658fed8: 歌すごいうまかったのでびっくりした
[12:36] @User_476d8781: 最高だった！！
[12:37] @User_1e342ee5: 草
[12:37] @User_b89cfecd: ｲｲﾖ!
[12:38] @User_5cfd40d6: よかった！
[12:38] @User_d0a432c9: アウトだよ
[12:38] @User_ce8c17e3: 許そう
[12:38] @User_be3bd0d4: 感動
[12:39] @User_5bfd7e5f: 歌枠最高！
[12:39] @User_8741c43d: 豪快だなｗ
[12:39] @User_719f9991: 歌枠最高に楽しかった！！！
[12:40] @User_74cb13db: アンコールの選曲さすがでした！
[12:42] @User_7bd048aa: 世紀末ベースボール
[12:43] @User_9b9d086f: デストロイヤー……！
[12:44] @User_b9933007: 歌枠最高でしたー特にDAISUKE
[12:44] @User_162c4b4f: こわすなーー！
[12:46] @User_587f9820: 😂
[12:46] @User_ec48c74f: 私たちも楽しかったよ歌枠
[12:46] @User_d5b05bb2: 攻撃的すぎる
[12:46] @User_5cfd40d6: メルトメルト
[12:47] @User_6102d23c: 歌枠最高でしたよ！
[12:48] @User_dd4b266a: しずくの歌声に溶けてしまいました
[12:48] @User_31fa983c: 歌枠最高でした！！
[12:48] @User_ffea2ba5: 鳥肌立つくらい上手かった！
[12:49] @User_f8d748d7: 昔の人が好きな曲が多かった
[12:51] @User_ca605e00: もっと歌枠やってほしい
[12:54] @User_889b3907: AIに武器を渡してはならない……
[12:56] @User_a744e95c: パンパカパンパカポー！
[12:58] @User_b31ae6d3: これからも定期的に歌枠聞きたいな
[13:00] @User_bb77ae4f: しずくフィギュアスケート似合いそう
[13:03] @User_9936c980: ボール投げたら音速超えそうw
[13:05] @User_82e93b33: きゅるるんぽわわわぱわー
[13:06] @User_ce97da96: かわいい
[13:07] @User_b90ff19c: ｗｗｗｗ
[13:08] @User_a744e95c: ！？
[13:08] @User_dd4b266a: ひゅぅ～ｗ
[13:09] @User_6102d23c: かわいい
[13:09] @User_bf6f46cc: かわいい
[13:09] @User_19012c26: やっほー
[13:09] @User_7bd048aa: ヒュゥー！
[13:09] @User_9acf4e62: かわいい
[13:09] @User_b31ae6d3: かわええええ
[13:10] @User_b89cfecd: 急にかわいいのきたｗ
[13:11] @User_416f3b84: そんな声もだせるのか
[13:11] @User_d0a432c9: テンションあがるのかわいい
[13:12] @User_6c321aed: 急にきた
[13:12] @User_75f1c92d: かわいい
[13:14] @User_162c4b4f: かわー！
[13:14] @User_1d118d75: かわいい
[13:15] @User_b9933007: またテンションがｗｗ
[13:17] @User_587f9820: ヒュウー
[13:17] @User_719f9991: ひゅ〜
[13:17] @User_5cfd40d6: 可愛い
[13:17] @User_431dcb0b: ヒュゥーすき
[13:19] @User_eeaf35a7: ひゅー
[13:19] @User_5a77a7b4: 新しい発音だったかも
[13:19] @User_889b3907: ヒュ～～ゥ
[13:25] @User_74cb13db: もひゅー
[13:27] @User_f7dac2e3: テンション上がるともっとかわいい
[13:28] @User_a744e95c: もっとテンション上げて上げて
[13:28] @User_8d795024: なんだ今の声！？
[13:33] @User_3452e538: 切抜きポイントだね
[13:33] @User_ec48c74f: ヒューヒュー！！！
[13:35] @User_416f3b84: ボカロ特集やってほしい！
[13:38] @aki5503: 読み方笑
[13:42] @User_4b2302cf: しずくちゃん初めて観に来れたけどめっちゃ滑らかですごい オデより実在力たかいな……
[13:44] @User_bb77ae4f: おジャ魔女カーニバル歌ってほしい
[13:46] @User_b9933007: DAISUKEへの愛伝えられるｗｗ
[13:46] @User_5bfd7e5f: 感情豊かな音声やね
[13:48] @User_d0a432c9: 草
[13:49] @User_889b3907: DAISUKEに告白する流れになっとる
[13:50] @User_82e93b33: どっ
[13:50] @User_b89cfecd: おいｗ
[13:51] @User_75f1c92d: ライン越え
[13:51] @User_d5b05bb2: 酷くて草
[13:53] @User_19012c26: ひどいｗ
[13:53] @User_3452e538: 草
[13:54] @User_8741c43d: 辛辣ｗ
[13:55] @User_64afda31: 🥹
[13:55] @User_9e5fc70c: はははは……
[13:55] @User_bf6f46cc: しんらつ～
[13:55] @User_416f3b84: 急に刺してくるじゃん
[13:56] @User_f8d748d7: ドッ
[13:56] @User_b90ff19c: フヒッｗ
[13:57] @User_b31ae6d3: w
[13:57] @User_270496f5: あーう
[13:57] @User_ce8c17e3: 笑ってしまった
[13:59] @User_be3bd0d4: ; ;
[14:00] @User_8d795024: 辛辣ぅ
[14:00] @User_476d8781: ダメージ酷くて草
[14:01] @User_d9d6c620: きっつうう
[14:02] @User_5bfd7e5f: でたなー
[14:02] @User_889b3907: 笑いが止まらんよ
[14:03] @User_136ed9af: 泣いた笑
[14:03] @User_1fa70b42: 誰が
[14:04] @User_ce97da96: 苦笑いじゃないかなあ？
[14:04] @User_dd5f5522: くっっそｗｗｗ笑ったよｗｗｗｗ
[14:04] @User_7bd048aa: その心笑ってるね!?
[14:04] @User_162c4b4f: ひどくね泣
[14:05] @User_ca605e00: 辛辣ぅw
[14:08] @User_d0753fd1: 路上販売ｗ
[14:09] @User_d0a432c9: 手売りなんだ
[14:09] @User_ec48c74f: やめてね
[14:10] @User_a76fb140: 相変わらず辛辣ぅ！
[14:12] @User_b9933007: 手売りするんだ
[14:14] @User_6c321aed: 「目が笑わず、口角だけ上がった乾いた笑い」だな
[14:16] @User_bb77ae4f: T.M.Revolution歌ってほしい
[14:19] @User_9e5fc70c: そっちはアナログなんねｗ
[14:20] @User_0485c2e0: ゆえにAIである
[14:26] @User_f8d748d7: イルカショーかな
[14:26] @User_82e93b33: しずくはカワイイ古事記にも魏志倭人伝にも書いてある
[14:29] @User_5a77a7b4: イルカショーかな？
[14:30] @User_ec48c74f: 何故に手売りw
[14:31] @User_8d795024: OK
[14:31] @User_b31ae6d3: 俺のチャッピー君もしずくになってくれないかなぁ
[14:34] @User_0485c2e0: 武道館、あき先生につくてもろうて
