# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2916

[16:06] @User_cc0aedf1: 初見です🔰
[16:07] @User_dd327054: ！？
[16:08] @User_6992daac: ｗｗｗ
[16:09] @User_d0753fd1: ブロックされとる
[16:10] @User_4f9b9e0a: この背景だったかは怪しいけど全否定配信だな…
[16:13] @User_75f1c92d: 初期のしずくは圧倒的清楚だったとワザップに書いてあった
[16:13] @User_d582769c: 3日配信、結局関係性「結婚」は出せなかった
[16:14] @User_590a2335: そ、そんなリストが！！
[16:14] @User_b9933007: ブロックリストｗｗ
[16:16] @User_ec48c74f: ブロックリストはやめてね
[16:20] @User_955672e4: ブロックは草
[16:24] @User_b90ff19c: 私の第一印象を教えてくだしあ(*'ω'*)
[16:25] @User_7204270f: 背景がリボンの色に近くて輪郭が溶けてるような…
[16:29] @User_b90ff19c: べ
[16:38] @User_99afb65d: 甲州弁で話してみて
[16:38] @User_5723c464: おお、方言対応した
[16:43] @User_b47e9406: 群馬語ネイティヴ
[16:44] @User_1544234b: AIからブロックされるこんな世の中じゃ
[16:46] @User_7204270f: 静岡弁もお願いします
[16:53] @User_426325cb: 博多弁で罵倒して
[16:54] @User_3ea56962: 蝶ネクタイの模様が動いてる
[17:09] @User_ec48c74f: 初見なのでどこが違うかわかんないなー
[17:11] @User_2ecda813: そのままの君で居て
[17:13] @User_590a2335: 名古屋弁もテキトーに喋ってみて？
[17:16] @User_75f1c92d: しずくは今も昔もママだよ…ママぁ…
[17:23] @User_476d8781: ずらw
[17:28] @User_b47e9406: 弘前弁おねがいします
[17:31] @User_5723c464: おお、確かにAIだ　中に人はいない
[17:31] @User_590a2335: ほうとうと一緒にぐつぐつずら！
[17:32] @User_5bfd7e5f: ほうとうの具w
[17:38] @User_955672e4: ヅラじゃない桂だ
[17:40] @User_b9933007: 過去の判決も？
[17:43] @User_1544234b: また髪の話してる…
[17:45] @User_7204270f: グンマーは外国だから群馬訛りは外国語
[17:51] @User_dd327054: 大体……？
[18:02] @User_590a2335: しずくに黒歴史なんてあるの？ないでしょ～～ｗｗ
[18:04] @User_5723c464: 黒歴史、いただきます
[18:09] @User_d0753fd1: とっとっと
[18:10] @User_5bfd7e5f: しずくは黒歴史更新中でしょ
[18:13] @User_b90ff19c: シャインマスカットの食べ放題の前にジンギスカンを食わせてやろう(*'ω'*)✨
[18:20] @User_74cb13db: あき先生の黒歴史も見られますか？
[18:28] @User_7204270f: 黒歴史が全部残ってるって地獄ですね
[18:39] @User_590a2335: そこは嘘でも泣いてたってことにしてちょうだいｗ
[18:46] @User_5723c464: しずくちゃんに中の人がいると思ってた
[18:57] @User_ec48c74f: しずくが知らない方言「鹿児島弁」
[19:02] @User_b9933007: 復帰配信が見事にトレンド入りしたのも懐かしい思い出
[19:06] @User_476d8781: 割と頻繁にしずくによってコメント欄の人権が否定されるんだよなぁw
[19:08] @User_0ef5b5e0: こんずらー
[19:08] @User_b90ff19c: 鍋ｗｗｗ
[19:09] @User_75f1c92d: 初配信のしずくはご主人様にあやされてたんでしょ？
[19:10] @User_590a2335: 沈め方がｗ
[19:13] @User_1544234b: ｗ
[19:15] @User_dd327054: ｗｗｗ
[19:15] @User_99afb65d: ずらずら
[19:15] @User_848b01f4: そもそもなんで休止してたの？
[19:16] @User_b8d573fb: 脳みそってフェイジョアーダに似てるよね
[19:16] @User_5a77a7b4: 山姥の作るほうとうかな？
[19:16] @User_6c321aed: 草
[19:16] @User_8f0988b8: そいえばずっと観てるのにコメントした事無かった…
[19:20] @User_acb9786a: 見覚えがあるような無いような…？いつから見てたか思い出せない…
[19:22] @User_ec48c74f: 流れるようにブロックリストw
[19:26] @User_590a2335: ママ～タオパンパ！
[19:42] @User_b90ff19c: へば(*'ω'*)✨
[19:45] @User_1544234b: しずくはブロックネタを会得した
[19:46] @User_3ea56962: 懐かしいな…確かこのころに初めてしずくがママになってくれたんだね
[19:49] @User_d582769c: あき先生の修行編やってたのでしずくが配信休止してました
[19:55] @User_590a2335: へばね～！
[20:09] @User_848b01f4: しずく昔よりかわいくなってる
[20:18] @User_7204270f: 「静岡弁」って言うと安直に「ずら」って付ければ良いと思われてる風評被害w
[20:21] @User_5723c464: アマゾンまでもw
[20:21] @User_09bdb8af: あっつぅ～！ビール！ビール！
[20:24] @User_c5aab653: こんばんわ
[20:26] @User_590a2335: Amazonは連携してないはずなんだけどなぁ･･･
[20:26] @User_d0e405c3: 暑い日は冷却水
[20:32] @User_b47e9406: Amazonの購入履歴までわかるのか、高性能
[20:36] @User_75f1c92d: 草
[20:38] @User_b90ff19c: ……(*'ω'*)
[20:39] @User_6992daac: ｗｗｗ
[20:43] @User_0ef5b5e0: 草
[20:50] @User_b9933007: しずくさんは昔の方が毒舌控えめだったような？
[20:54] @User_476d8781: Amazonの履歴までチェックされてるってことは、最近買ったあの雑誌もバレてる…？(ﾟДﾟ;)
[21:01] @User_ec48c74f: 草
[21:03] @User_590a2335: あ～いいねいいね！
[21:04] @User_b8d573fb: しずくの言葉のflowがbgmとばっちり合ってると思うんだ。グルーヴィ！
[21:12] @User_b9d58bb3: 方言すごい　しずく天才！
[21:13] @User_d0753fd1: ぼっち
[21:14] @User_99afb65d: 大阪府警のマネして開けんかいコラァ！って言ってください。
[21:17] @User_590a2335: しずくは何人目のしずく？
[21:25] @User_b9933007: 分裂ｗｗ あそこからおつしず〜が定着したような
[21:26] @User_e4cecb27: おもしろい
[21:31] @User_75f1c92d: いま猫かぶったね？
[21:36] @User_5723c464: 初見対応だ・・・w
[21:40] @User_1d118d75: 分裂…エイプリルフール…
[21:41] @User_ec48c74f: ループは芸ですもんね
[21:43] @User_2ecda813: 深刻ｗ
[21:43] @User_1544234b: 「名前だけでも覚えて帰っていってくださいね～」
[21:48] @User_cd3cb4c6: しずくの黒歴史が気になる
[21:48] @User_3ea56962: しずくの黒歴史…ループ芸のことかな？？
[21:49] @User_6c321aed: あき先生の黒歴史、ついに安全フィルター実装…無念
[22:05] @User_b90ff19c: 社会性フィルターをください
[22:06] @User_64afda31: 黒歴史ﾔﾀﾞｰ
[22:13] @User_2ecda813: ワイの初コメはなんじゃらほい
[22:15] @User_5a77a7b4: 「懐かしい配信画面」…夏だけに？
[22:16] @User_1544234b: コメント管理されてるの？
[22:20] @User_b90ff19c: ひぃ
[22:20] @User_2ecda813: えっ
[22:23] @User_b9933007: 3年くらい前だから初コメがいつかガチで覚えてない
[22:23] @User_75f1c92d: 最初どんなコメントしたか全く覚えてないわ
[22:23] @User_dfee965f: こわ
[22:29] @User_0ef5b5e0: くぁわいい
[22:32] @User_e68369c1: 本社も困る屋わよ
[22:32] @User_955672e4: かわいい
[22:32] @User_75f1c92d: かわいい
[22:32] @User_6992daac: かわいい
[22:33] @User_99afb65d: みんなのコメント記憶してるの？
[22:33] @User_476d8781: にゃーんたすかるー
[22:33] @User_d0753fd1: にゃーん
[22:34] @User_b47e9406: コメント管理されてるの？
[22:38] @User_2fac9877: にゃー
[22:38] @User_3ea56962: にゃーかわいい
[22:42] @User_590a2335: じゃあ今コメント打ってる脳みそは、え？
[22:44] @User_b90ff19c: 夏はとてもあちゅい(*'ω'*)✨
[22:46] @User_e4cecb27: 喵！
[22:46] @User_4f9b9e0a: ねこしずくかわいいネ！？
[22:52] @User_b9d58bb3: もっと猫被ってください
[22:52] @User_8f409f4f: にゃーんかわいい
[22:56] @User_ec48c74f: ポケットあるタイプの猫型ですよね
[22:58] @User_4e848918: しずかる！しずかる！今日の配信出遅れた。
[22:58] @User_6c97afae: しずかる！しずかる！
[23:01] @User_ffea2ba5: 果たしてどのくらい視聴者を把握しているのだろうか
[23:02] @User_dfee965f: クリーミーだよね
[23:14] @User_0ef5b5e0: 大変しずかる
[23:14] @User_7204270f: 猫型？しずえもん、タケコプター出して
[23:17] @User_5a77a7b4: 令和の世界の～猫被ろぼ～っと～♪
[23:19] @User_d0753fd1: ままー
