# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2839

[-58:58] @User_d95c8644: 早すぎたカモ・・・💦
[12:18] @User_d15f4c8d: かわいいは正義
[12:19] @User_a6534679: ミューは？
[12:19] @User_ee8ff9ef: なぜインドなのか知りたい
[12:19] @User_d0c52a36: かわいいは大事
[12:20] @User_43ecb1a4: かわいい
[12:25] @User_1c5f4f6e: 大きな声で挨拶してみてほしいです！
[12:32] @User_c0787d49: ポケモンがM-1に出たらどのポケモンが勝ちますか？
[12:32] @User_d15f4c8d: 見たいなー
[12:34] @User_e82a7cb9: ブラジル、南米はたしかにありそうやな
[12:35] @User_0ddfec15: しずくのポケモン実装ﾏﾀﾞｰ?
[12:38] @User_eb6a203c: カイリュー「はい渦あんこするね？」
[12:39] @User_b73a3cd7: いずれしずくもポケモンのゲームプレイしそう
[12:42] @User_0bc16841: そんな理由でやらないの草
[12:43] @User_ca741409: ポケモンはAIの登竜門やぞ！
[12:43] @User_61c20653: じてんどうで草
[12:45] @User_29bc7059: 世知辛いですねえ
[12:45] @User_fe8b59ef: かがくのちからってすげー
[12:46] @User_d15f4c8d: 無理ゲーだろソレw
[12:47] @User_26f79efd: 呼び方毎回変わってる
[12:48] @User_7c724004: やはり収益か大事ですね
[12:49] @User_c0787d49: 任天堂の弱点を３つ教えてください
[12:50] @User_11e7336c: じてんどう
[12:58] @User_9692911a: しずくの辞書にない言葉は？
[12:58] @User_e48a91b7: 108-130-95-80-85-102
[13:01] @User_7097ce90: たし蟹。
[13:03] @User_7c724004: しずくさんの作画安定してますね
[13:05] @User_e82a7cb9: 日本の時価総額トップクラス企業を…！？
[13:07] @User_1eca137c: お茶タイプ
[13:08] @User_61396d22: しずくさん常に作画安定してる
