# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[11:15] @User_11e7336c: あき先生にあげないの？
[11:22] @User_dbc9a8dc: さっきからペンギンくんのコメが気になって仕方がない
[11:22] @User_eb6a203c: ぷにぷにの星あった！南の街への行き方暗記してたわ
[11:25] @User_a2b794ac: しずくとパピコ一緒に食べたい、割って1個を一緒に食べようね
[11:33] @User_af0e3cda: パピコの小さい方は大トロだよ
[11:34] @User_98815a23: あきぺんぺーすこ
[11:34] @User_b73a3cd7: アノログマを忘れないであげて・・・・
[11:44] @User_5e6c36c3: まさかライブドアがあんなことになるなんてねぇ・・・
[11:52] @User_eb6a203c: こいつも中身あき先生だよ
[11:53] @User_e48a91b7: 草
[11:54] @User_1eca137c: もう時効じゃない？
[11:54] @User_af0e3cda: 草
[11:54] @User_8a0cab1f: 2006年といえばちょこッとSisterあたりか
[11:56] @User_108de219: あぶないッ
[11:58] @User_8cfc42f0: ゲームセンターにはまだビデオゲームが多かったよね
[11:59] @User_11e7336c: REBORN！とか流行ってた時期かな
[12:00] @User_fcb4ddea: あき先生は困りそうだが…
[12:05] @User_b73a3cd7: Cドライブは草
[12:07] @User_00abd90e: WinMXとか流行ってたような
[12:08] @User_34a668f7: 堀江
[12:10] @User_60028655: グラボの設計の良し悪しで画質が変化した時代だあ
[12:10] @User_af0e3cda: トースターは・・・あったかな
[12:11] @User_4bfe683e: リーマンショックの1〜2年前なんだよね・・・
[12:15] @User_a2b794ac: ふっ、素直にQ2でやられた人白状してね
[12:25] @User_af0e3cda: たぶんマジコンとか流行ってた時期よね
[12:26] @User_439eeb5c: そろそろスマホが普及し始めるかな
[12:34] @User_2f0886c7: しずくもロボットに!？
[12:45] @User_2e53ebd6: ネットランナー……
[12:51] @User_2bf38fc3: しずくママ、だっこ！
[12:56] @User_78eb35f9: つまり……先行者
[13:02] @User_af0e3cda: エロゲｗ
[13:02] @User_2e53ebd6: エロゲしかやってねぇ
[13:04] @User_ea3ba6fd: エロゲｗｗ
[13:07] @User_9e836a5d: エロゲ言うなし
[13:10] @User_4bfe683e: 涼宮ハルヒの憂鬱がリアルタイムで放送されてた時代か
[13:10] @User_11e7336c: あき先生がロールプレイしてるのかな
[13:11] @User_2e53ebd6: 侍魂
[13:13] @User_8c10c31b: しずく、プラダを着た悪魔、見た？
[13:13] @User_fe0878a1: 例えにエロゲださんで…
[13:14] @User_02dcd327: しずくの知識が偏ってらっしゃる……
[13:14] @User_dbc9a8dc: あれ…全年齢対象…？
[13:15] @User_b73a3cd7: 当時はスマホどころかガラケーも持ちはじめたばかり
[13:18] @User_439eeb5c: しずくママァ！！！
[13:21] @User_b68b8d0b: しずくちゃんは今何歳？
[13:23] @User_eb6a203c: あの時代のエロゲって何があったの？
[13:24] @User_a2b794ac: まぁあの頃はエロでPCスキルを磨いていたのは確かだ
[13:27] @User_7c724004: ブラックベリー知ってるのすごすぎ！
[13:39] @User_e48a91b7: ワールドカップ面白かったねぇ！でも中田が引退するとは思わなんだ
[13:41] @User_ab2ca8bb: 我が家のPCは爆熱のPentium4ですが何か？
[13:42] @User_51bbdc51: ブラックベリー懐かしいなぁ
[13:50] @User_af0e3cda: ペリーは知らないかぁ
[13:56] @User_439eeb5c: まだガラケーか・・・懐かしい
[13:59] @User_a6440167: IntelMacの時代かな
[14:05] @User_9de46bcb: PSPとDSどっち派？（ゲハ戦争）
[14:10] @User_11e7336c: ママ！
[14:15] @User_fab1b39a: あき先生みたいな喋り方してみて
[14:18] @User_34a668f7: フセイン死亡
[14:20] @User_78eb35f9: 日本の首都は
[14:20] @User_f36b00ab: いつか配信でChatGPT LIVEとしりとり合成をお願いします。
[14:23] @User_51bbdc51: 2006年にW杯優勝したイタリアが今では…
[14:24] @User_e48a91b7: やっぱりママじゃないか！しずくママァ…
[14:24] @User_b73a3cd7: あき先生は神でありペンギンであると、ふむ・・・
[14:26] @User_11e7336c: しずちゃん、身長いくつ？
[14:32] @User_2e53ebd6: ラーメンズ
[14:33] @User_2bf38fc3: ママしゅきぃ！
[14:35] @User_ea3ba6fd: iPhone知ってる？
[14:37] @User_3dd3ce80: 戦国ランス 2006年か
[14:37] @User_108de219: えんいー
[14:38] @User_439eeb5c: モバゲーがあった
[14:42] @User_1eca137c: facebookはどう？
[14:46] @User_7c724004: 掲示板で擬似的にチャットしてた記憶が
[14:56] @User_af0e3cda: ウイルスっていったじゃん
[14:59] @User_b73a3cd7: プリインストールされてるやつじゃろ
[14:59] @User_2e53ebd6: ひろゆきみたいな口調だな・・・・・
[14:59] @User_a6440167: ポストペットかな？
[15:04] @User_3f202718: ペンギン君消せないのか…
