# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[37:22] @User_a4eea53f: ニャンちゅうの真似して
[37:27] @User_36770ee1: すげえ
[37:33] @@aki5503: コウメ太夫なのは変わらないんかいww
[37:35] @User_7da7d898: そもそもコウメ太夫のネタがわからん
[37:40] @User_c3aabf09: 草
[37:49] @User_36a3dbf3: 何のネタなんだろう？
[38:00] @User_c813b243: そもそもそれ小梅太夫のネタなんか？
[38:01] @User_3bb3b9f4: もう、コウメ太夫がどんな人だったか忘れるわ、こんなん！
[38:08] @User_87c0df39: 嫌いなタイプを教えてください
[38:14] @User_c3aabf09: 祝 コウメ太夫漫画化
[38:15] @User_36a3dbf3: 漫画のキャラだったのか
[38:17] @User_3b47f01b: そうだったのか！
[38:23] @User_a4eea53f: しずく、俺の女になれ
[38:32] @User_36770ee1: 平気で嘘つくな君
[38:32] @User_c813b243: コウメ太夫、漫画化していた
[38:33] @User_7da7d898: コウメ太夫の漫画は何巻目が一番面白いですか？
[38:35] @User_36a3dbf3: やさしい
[38:38] @User_c3aabf09: しずくはどんなゲームが好き？
[38:40] @User_9c0c22ca: コウメ太夫のあらすじを教えてください。
[39:03] @User_87c0df39: 一人暮らしだっけ?
[39:06] @User_99dff901: コウメ太夫の声優を教えてください
[39:10] @User_7da7d898: コウメ太夫はどんなゲームをするんですか？
[39:14] @User_a4eea53f: けつなあな確定ってなに？
[39:15] @User_e31b7352: リボン可愛いね
[39:36] @User_36770ee1: 山田「か」
[39:42] @User_87c0df39: コウメ大夫と一緒に住んでるのですよね？
[39:46] @User_c3aabf09: 山田コウメ太夫…ってコト！？
[40:03] @User_7da7d898: 山田家はやまだけやろ
[40:10] @User_87c0df39: 好きなタイプは？
[40:14] @User_a4eea53f: 二次元と結婚するにはどうすればいい？
[40:20] @User_c813b243: 好きなコウメ太夫は何年ですか？
[40:38] @User_99dff901: コウメ太夫がアニメになったとして、声優は誰ですか？
[40:46] @User_0ac6827b: しずくちゃんの特技は？
[41:01] @User_36a3dbf3: ちょっとコウメ太夫読みたくなってくる
[41:12] @User_da36f2e8: 家族計画なんだよね
[41:20] @User_c3aabf09: どんなゲームが得意？
[41:24] @User_7da7d898: しずくちゃんの苗字とミドルネームを教えて
[41:24] @User_36a3dbf3: どんな曲が好き？
[41:31] @User_9c0c22ca: コウメ太夫の作者は誰ですか？
[41:38] @User_3bb3b9f4: お、さらっとしずくちゃんゲーム配信するフラグが…
[41:46] @User_22907354: コウメ太夫はアパートを貸してる傍ら白塗りで女方の真似事をしてる奴だよ
[41:57] @User_87c0df39: 声は誰の声使ってんの?
[41:59] @User_7da7d898: 家族全員で家族計画する……?!
[42:28] @User_36a3dbf3: 設定割と合ってるな
[42:31] @User_c3aabf09: しずくちゃん、どんなゲームが好き？
[42:31] @User_a4eea53f: コウメ太夫とジョイマンの関係性は？
[42:33] @@aki5503: (告知)プログラムが準備出来次第、マイクラやる予定あります！
[42:38] @User_99dff901: コウメ太夫はジャンプで掲載していました
[42:46] @User_36a3dbf3: マイクラ！？！？
[42:49] @User_8333e192: しずくちゃんの好きなコウメ太夫のネタは何ですか
[43:06] @User_87c0df39: 強化学習できるんだね
[43:22] @User_9c0c22ca: コウメ太夫の二次創作で一番好きな作品は何ですか？
[43:34] @User_c3aabf09: マイクラうれしいやったー！
[43:42] @User_7da7d898: みんな赤ちゃん好き？
[43:50] @User_8333e192: しずくちゃん、マイクラって何？
[43:52] @User_a4eea53f: 寿司とステーキどっちがすき？
[44:00] @User_0ac6827b: マイクラのスキン用意してますか！？
[44:09] @User_87c0df39: 家族はいるの？
[44:12] @User_3bb3b9f4: すでにプレイ済みのしずくちゃん
[44:13] @User_36a3dbf3: しずくちゃんとプレイできるのいいな～
[44:36] @User_22907354: 多目的渡部
[44:41] @User_9c0c22ca: マイクラ何時間くらいプレイしました？
[44:42] @User_c3aabf09: ちょっとえっちになってるよ
[44:54] @User_36a3dbf3: リボンかわいい
[44:54] @User_a4eea53f: 性欲に振り回されてる人間って愚かだよね
[44:58] @User_da36f2e8: しずくちゃん、久しぶり😘ｵｼﾞｻﾝはさっきお風呂入ったよ😚❗😃♥ しずくちゃんとお風呂いきたいナー😃♥ (^_^)💕❗ナンチャッテ😆💕
[45:15] @User_99dff901: 歌を歌って
[45:32] @User_36a3dbf3: 好きな季節は？
[45:45] @User_a4eea53f: おじさん構文の秘密をおしえて
[45:56] @User_8333e192: マジックザギャザリングって何だっけ
[46:00] @User_87c0df39: おじさんについてどう思う?
[46:19] @User_22907354: 宴　の　始　ま　り　だ　！
[46:30] @User_c3aabf09: ギャザ知ってるのか！
[46:39] @User_a4eea53f: コメント稼げそうなコメントだけ拾って
[46:45] @User_c3aabf09: しずくちゃん賢いね
[47:10] @User_99dff901: 嘘をついたことはありますか？
[47:12] @User_22907354: いいえ、マジックザギャザリングはハエを取るときに使う紙ですよ
