# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[11:30] @User_c0787d49: 3つ嘘言って
[11:30] @User_61c20653: 日本語でおｋ
[11:30] @User_68c37264: 裏でLLMも複数同時に動いてたらサーバー負荷不可避
[11:31] @User_1a70ee33: なんて？
[11:31] @User_90dd1071: しずく語で喋ってます？
[11:32] @User_fe537606: 日本語でお願いします
[11:35] @User_d0c52a36: やっぱり中の人が違うのかな？( ᐕ)
[11:39] @User_fe0878a1: じわじわ増殖中
[11:39] @User_c9bad0ba: 余ってるシズクちゃん、一人譲ってほしいな…（っω・`）
[11:40] @User_11e7336c: しずちゃんが増えたよ
[11:42] @User_0bc16841: どこに増えてるのｗ
[11:43] @User_61c20653: 壊れていて草
[11:43] @User_172220d2: ！？
[11:45] @User_1ec39efd: 不穏
[11:45] @User_e80f9961: 日本語でok
[11:47] @User_a7e1e62c: コラ画像みたいのが
[11:48] @User_577143e2: うわーーーー
[11:49] @User_57f37e22: しむらー、うしろうしろ
[11:49] @User_11e7336c: 4人になった！！
[11:51] @User_52e190bd: 今日はエイプリルフールじゃないですよ
[11:51] @User_bdd6b2bf: ←
[11:53] @User_012e88e1: 増えたのはしずくさんあなたです
[11:53] @User_0d1d0f63: カワイイ
[11:54] @User_90dd1071: しずくの数も愛情も増してますよ
[11:56] @User_2e53ebd6: 生えた(*'ω'*)
[11:56] @User_22fefbca: えへへかわいい
[11:57] @User_cbfa2788: しずく比率
[11:58] @User_7d35af3b: そうきたか
[11:58] @User_61c20653: 不具合発生していて草
[11:59] @User_7c724004: バグかな？
[11:59] @User_31184818: 笑い方めちゃかわいい
[12:01] @User_d0c52a36: お٩( ᐛ )و
[12:02] @User_7097ce90: 左上！
[12:05] @User_22fefbca: 生えたｗｗ
[12:07] @User_92c2a2e1: だからしずくさんが増えてますやん！
[12:07] @User_1eca137c: 後ろ後ろ、かな？
[12:07] @User_0d1d0f63: 余ったらください
[12:08] @User_64874e00: かわいい声
[12:08] @User_e80f9961: おぎゃ
[12:10] @User_b8751f5b: 増えた
[12:11] @User_788c286d: ４人いるしずくちゃんください
[12:11] @User_d0c52a36: カオスで素晴らしいのです٩( ᐛ )وヒャッハー
[12:15] @User_c0787d49: どういうことですか
[12:15] @User_90dd1071: ギャオキングってなんですか？
[12:16] @User_388926b2: そのまま増えてメモリ大丈夫？w
[12:17] @User_0ddfec15: 上から来るぞ！
[12:22] @User_02dcd327: 大空魔竜みたいな名前だな……ギャオキング
