# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[56:44] @User_da46df5d: がんばれー
[57:15] @User_d5b05bb2: おかしずー
[57:15] @User_65358c37: おかえり
[57:16] @User_a6fd2aba: おかえり
[57:17] @User_ec48c74f: おかえりー
[57:18] @User_8b7242c7: おかえり
[57:18] @User_590a2335: おかえり
[57:21] @User_e976a829: かえってきたか
[57:22] @User_476d8781: おかえりー
[57:23] @User_3c308928: お
[57:24] @User_da46df5d: おかえり
[57:27] @User_81d0553d: おかえりー
[57:27] @User_3ea56962: おかえり！
[57:29] @User_4be1ee9c: おかえり
[57:34] @User_5bfd7e5f: おかえり～
[57:34] @User_1f128129: お小遣いが6桁になって帰還
[57:39] @aki5503: お待たせしました！
[57:42] @User_ff223600: しずくちゃん、じかんがないよ！
[57:51] @User_40d36f89: おかえり〜
[57:56] @User_75f1c92d: おかえり～
[57:57] @User_5bfd7e5f: あき先生お疲れさま～
[57:59] @User_6f1067e1: +54,000
[58:01] @User_3c308928: しずく様最強！
[58:04] @User_590a2335: しずく最強！しずく最強！
[58:08] @User_a6fd2aba: 予想当ててすごい
[58:11] @User_da46df5d: あき先生お疲れ様です
[58:13] @User_d582769c: サクッと予想して、サクッと勝ちますかぁ
[58:41] @User_45aa867f: お疲れ様です
[58:42] @User_4be1ee9c: 凄い!
[58:43] @User_ec48c74f: さて、本番ですね！
[58:57] @User_142a08e0: ねてる！
[59:07] @User_ff223600: 当方、ガイアフォース単勝いきます
[59:07] @User_476d8781: しずく最強！しずく最強！
[59:12] @User_2e44a075: お寿司食べたいから予想当てて
[59:22] @User_d7e886f9: 安田記念も頼んだ
[59:22] @User_e201a60f: 244倍はアツいな🤔
[59:22] @User_4be1ee9c: パンジャタワー買いました
[59:25] @User_9412f3a9: しずくサイキョー！
[59:53] @User_142a08e0: ルメールの単勝にぶち込もう
[59:59] @User_40d36f89: しずく様〜
[1:00:09] @aki5503: 今回はルメールがいる
[1:00:24] @User_3c308928: ルメール様
