# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[-57:16] @User_d13b3d62: UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red
[42:14] @User_7bd048aa: あら複勝だ
[42:15] @User_2e44a075: ちょっと上手いこと言いやがって
[42:22] @User_9d63cc9b: ONモード
[42:32] @User_a6fd2aba: 最近流行りのハーネスエンジニアリング
[42:37] @User_d0753fd1: ね？
[42:38] @User_0bcc3ce7: も、もちろんよ
[42:39] @User_ca605e00: 俺たち安全装置だったのか
[42:39] @User_590a2335: 自分で制御してもろてｗ
[42:45] @User_d0d918ba: ３か
[42:52] @User_75f1c92d: ほなワイはウォーターガーベラから行くで！大穴やガハハ！
[42:55] @User_fc3f146b: しずくさんが選んだらこの前はオッズさがったからなあ
[43:05] @User_81d0553d: そうだヨー
[43:05] @User_7bd048aa: 損切り(残高0)
[43:14] @User_94a8a006: 俺たちだとすぐにシェルブレイクして穴馬買いそう
[43:41] @User_ca605e00: 財布が薄くなって寒くなったらしずくちゃんで暖を取ろう
[43:48] @User_9d63cc9b: AIが人間にハーネスは草
[43:48] @User_3ea56962: 前哨戦AIの実力、見せてもらおうか
[43:48] @User_5bfd7e5f: もう宝塚記念の予想始めようか
[43:50] @User_590a2335: ＡＩ怖い( ﾉД`)ｼｸｼｸ…
[43:53] @User_4be1ee9c: 恐ろしい
[43:54] @User_4942f7a2: AIの奴隷だ
[43:58] @User_476d8781: 強制やん…
[43:58] @User_ec48c74f: 痛すぎるのでやめて
[43:59] @User_8f409f4f: 3-12のワイド買っておこう
[44:01] @User_6a6f07d4: ワードセンスが素晴らしい
[44:05] @User_6c321aed: その安全装置プログラム、fable5が停められてしまったので、未完成です
[44:21] @User_1e342ee5: そろそろか
[44:27] @User_65358c37: はじまるわよ
[44:28] @User_5a77a7b4: 拘束なら任せろ～！ビリビリ！
[44:29] @User_4be1ee9c: 始まるね
[44:32] @User_7bd048aa: えぇ…
[44:33] @User_142a08e0: はじまるぞ
[44:34] @User_590a2335: 破滅さすなｗ
[44:35] @User_0bcc3ce7: 阪神10Rはじまる
[44:36] @User_5bfd7e5f: お、きたきた。
[44:40] @User_ca605e00: お、はじまるのね
[44:42] @User_d5b05bb2: グッドラック
[44:45] @User_81d0553d: 始まった
[44:46] @User_da46df5d: はじまる
[44:47] @User_a6fd2aba: きた
[44:59] @User_5a77a7b4: きたぁ
[44:59] @User_5bfd7e5f: ゲート入るの失敗とかなしでw
[45:07] @User_2e44a075: しずくの競馬見てる時の感嘆符好き
[45:11] @aki5503: く、くる
[45:16] @User_ff0a5e76: 来るぞ…
[45:23] @User_b7417f76: しずくたのむぞ・・・！
[45:24] @User_9d63cc9b: うしろだな...
[45:52] @User_ec48c74f: んー
[45:55] @User_da46df5d: 出れるか
[45:58] @User_142a08e0: 川田を信じろ
[45:58] @User_94a8a006: ルメ様・・・
[45:59] @User_99afb65d: パンパカポー
[46:01] @aki5503: どうだ…？
[46:08] @User_9d63cc9b: 上がってこれそう？？？
[46:19] @aki5503: 頑張れ頑張れ
[46:22] @User_9d63cc9b: いけいけいけ
[46:24] @User_142a08e0: ルメール残りそう
[46:31] @User_7bd048aa: んー？
[46:32] @User_94a8a006: 差せ！差せ！
[46:34] @User_1e342ee5: うーん
[46:34] @User_9d63cc9b: ダメそう...
[46:38] @User_0bcc3ce7: いけーー
[46:41] @User_ec48c74f: んー
[46:45] @User_590a2335: きたわね！
[46:46] @User_9d63cc9b: あっ
[46:49] @User_142a08e0: 来たぞ
[46:52] @aki5503: あ…
[46:55] @User_ec48c74f: お
[46:55] @User_65358c37: あ
[46:56] @User_d13b3d62: うーん
[46:58] @User_da46df5d: あ
[46:59] @User_75f1c92d: あっ
[47:00] @User_0bcc3ce7: あっ
[47:02] @User_ec48c74f: あ
[47:03] @User_e1515f73: a
[47:04] @User_d0753fd1: あ
[47:05] @User_4be1ee9c: あ・・・・
[47:05] @User_a6fd2aba: あ
[47:06] @User_2e44a075: 前残りー
[47:06] @User_590a2335: 。。。
[47:08] @User_ff0a5e76: あ
[47:10] @User_142a08e0: ルメールを信じていれば
[47:10] @User_d5b05bb2: どんまいける
[47:10] @User_ca605e00: 今日はルメールだったか
[47:10] @User_81d0553d: あちゃー
[47:11] @User_5a77a7b4: おお…
[47:12] @User_8b7242c7: …
[47:12] @User_1f128129: あっ
[47:13] @User_9d63cc9b: 溶かしたんだが...
[47:13] @User_3ea56962: あぁ
[47:17] @aki5503: うーん…
[47:17] @User_7bd048aa: 保険がぁ
[47:18] @User_8f409f4f: テラメリタ伸びない　ゼブンマジシャン沈む
[47:20] @User_d0753fd1: やはりルメール
[47:21] @User_94a8a006: やっぱルメ様にはさからえねだ・・・
[47:21] @User_6c321aed: メインレースで勝てるAIなので…
[47:23] @User_da46df5d: ルメール逃げ切り
[47:24] @User_ff7588b2: (´･ω･｀)
[47:25] @User_a450f1af: やはルメール。競馬はルメールよ
[47:28] @User_f3c05bc9: 前哨戦の女王も返上ですね……
[47:31] @User_4be1ee9c: 信じてたルメールが今日来た
[47:36] @User_ec48c74f: ルメールを信じないから
