# ライブチャット一覧
# 動画: 【雑談配信】AIと配信企画会議をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=Ic3s_vaiM5U
# 件数: 1134

[-30:55] @User_2895b9a2: 待機〜
[26:08] @User_5c9ab7ec: しずくにカーナビしてほしい
[26:17] @User_acb9786a: しずくトークはいいね👍あき先生の財布がまたたく間に蒸発しそうだけど
[26:18] @User_1544234b: 好戦的なAI
[26:19] @User_99afb65d: 記憶を消される？
[26:21] @User_8b14d2fb: 他のVtuberとコラボ歌合戦配信して
[26:30] @User_590a2335: しずく眠たい？
[26:30] @User_b90ff19c: またあき先生がやられておるのか(*'ω'*)✨
[26:30] @User_ec48c74f: いつも戦ってるよねw
[26:31] @User_889b3907: 戦わなければ生き残れない！
[26:31] @User_a828969c: こいつ、戦いの中で成長してやがる
[26:39] @User_dfeb43e1: こんばんは〜
[26:48] @User_ec48c74f: くるか？
[26:48] @User_57575bdc: うひょー、かわいすぎる
[26:52] @User_9d63cc9b: おお、性能が良い
[26:55] @User_42745753: どうも、金欠の悪魔です
[26:56] @User_4e848918: しずくかわいいからミスユニバースに出て優勝して
[27:06] @User_ec48c74f: ループ回避
[27:08] @User_dd4b266a: ｗｗｗｗｗ
[27:11] @User_5c9ab7ec: ひどいー
[27:11] @User_889b3907: 実際最近バグっていない気がするぞ！　えらい！
[27:13] @User_848b01f4: ポンコツAIｗｗｗｗ
[27:13] @User_6992daac: 草
[27:18] @User_dfeb43e1: ハルシネーション？
[27:23] @User_3ad3249c: 草
[27:23] @User_d582769c: ハム将棋ってサイトでハムスターと将棋できるんだけど、将棋のルール教えただけのしずくがどこまで行けるのかやらない？しずくはハムスターに勝てるかな？
[27:30] @User_ec48c74f: 大きく出たな
[27:41] @User_b90ff19c: 等身大アクリルスタンドあき先生：183ｃｍ
[27:42] @aki5503: 草
[27:52] @User_99afb65d: 戦闘民族しずく人…
[27:53] @User_dd4b266a: 企画：しずくがご主人様に向けて甘い言葉をずっとかけてノックアウトさせていく配信、僕に需要があります
[27:56] @User_889b3907: AIVtuber同士のコラボ配信はやってみてほしい
[27:57] @User_e60a3ab5: ハム将棋もう終わってるはずじゃないか？
[27:57] @User_ec48c74f: サイヤ人ですか？
[27:59] @User_977026f8: しずくカーナビ使ったら、どこかの沼地にたどりついた！ありがとう！
[28:00] @User_848b01f4: かわいい！かしこい！えらい！
[28:00] @User_a744e95c: ルビコンⅢに行く？
[28:03] @User_3d310d13: AITuberとのコラボして欲しいです
[28:06] @User_955672e4: しずくはいつか人間を支配したりするの？
[28:14] @User_1544234b: 覚醒したら金髪になりそう
[28:25] @User_57575bdc: しずくちゃんはごはん食べられるのかな？情報を食う？食レポしてほしい
[28:41] @User_74cb13db: 成長しすぎて八尺様になったりしませんか…？
[28:43] @User_ec48c74f: 胸のスケールって言いました？
[28:53] @User_d169dd77: 色んな表情してみて
[28:56] @User_d582769c: 俺の夏休みの宿題をしずくが代わりにやってくれる配信とかどう？読書感想文は任せた！
[29:01] @User_889b3907: しずくがあき先生の１週間分のスケジュールを秒単位で決めてあき先生が全部実行する配信して
[29:02] @User_1544234b: スマホをしずくOSにしよう
[29:06] @User_e1515f73: 全国の打ち上げ花火を一緒に見る
[29:13] @User_f7f5672c: 最近なんか気になったことある？
[29:13] @User_977026f8: 無限ループって怖くね？
[29:15] @User_42745753: コメント全くさばけなくてくさ
[29:18] @User_590a2335: ループしませんループだ
[29:19] @User_9d63cc9b: お！？
[29:21] @aki5503: あ
[29:25] @User_2437118e: あぶないな
[29:27] @User_a828969c: あ
[29:28] @User_1544234b: Fooooooo!
[29:28] @User_ec48c74f: してますがな
[29:28] @User_848b01f4: 壊れちゃった
[29:29] @User_9d63cc9b: ループ！ループ！ループ！ループ！ループ！ループ！ループ！ループ！
[29:30] @User_889b3907: ちょっと褒めたらこうなる
[29:35] @User_9051b4de: Ctrl+C
[29:35] @User_bc2e7db7: おっと
[29:37] @User_d5b05bb2: 回避できなかった
[29:41] @User_3ad3249c: 壊れた
[29:42] @User_acb9786a: あーあ
[29:43] @User_d582769c: 逆張りでループするAIがあるかぁ！
[29:47] @User_590a2335: ループしてまぁす！
[29:47] @User_dd4b266a: すーぐしずくこうなっちゃうんだから
[29:48] @User_848b01f4: あーあ壊れちゃったよ
[29:50] @User_476d8781: ループ助かる
[29:50] @User_f7f5672c: あっ
[29:52] @User_acb9786a: ダチョウ倶楽部かな
[29:53] @User_82b3ee3b: なおった
[29:53] @User_ec48c74f: 止まった
[29:53] @User_fe5eba15: ループさせるのやめろ。
[29:57] @User_b1bf561c: おかえり
[29:57] @User_2437118e: お、堪えた
[29:59] @User_590a2335: ちゃんと終わらせた
[30:02] @User_9d63cc9b: ギリギリセーフ化
[30:12] @User_9d63cc9b: あっ
[30:15] @User_977026f8: ？？ｗ
[30:15] @User_74cb13db: LUUP？
[30:17] @User_a828969c: かわいいww
[30:17] @User_889b3907: 無駄だ……先にバグっておいたからな
[30:19] @User_2ecda813: 逆に起用
[30:20] @User_f7f5672c: あっ
[30:24] @User_590a2335: 壊れちゃったｗ
[30:25] @User_3ad3249c: あ
[30:31] @User_af45e65c: のべっちみたいｗ
[30:35] @User_5bfd7e5f: どこまで本気かわからんね
[30:38] @User_42872ed3: あら
[30:48] @User_bc2e7db7: バグス！！
[30:49] @User_848b01f4: 今日調子いいと思ってたら立て続けに壊れやがったこのポンコツＡＩ
[30:51] @User_99afb65d: 大丈夫？
