# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2628

[-1:55:31] @User_0751797b: 今日もリアタイできないつらい
[12:38] @User_973d1a50: 許そう
[12:39] @User_1eca137c: 歌枠最高！
[12:39] @User_174e5121: 豪快だなｗ
[12:39] @User_61396d22: 歌枠最高に楽しかった！！！
[12:40] @User_9fd4c5ec: アンコールの選曲さすがでした！
[12:42] @User_48bb2582: 世紀末ベースボール
[12:43] @User_02dcd327: デストロイヤー……！
[12:44] @User_7c724004: 歌枠最高でしたー特にDAISUKE
[12:44] @User_27504ca7: こわすなーー！
[12:46] @User_d15f4c8d: 😂
[12:46] @User_92c2a2e1: 私たちも楽しかったよ歌枠
[12:46] @User_36fcf009: 攻撃的すぎる
[12:46] @User_d0c52a36: メルトメルト
[12:47] @User_ba99e548: 歌枠最高でしたよ！
[12:48] @User_a2b794ac: しずくの歌声に溶けてしまいました
[12:48] @User_b8751f5b: 歌枠最高でした！！
[12:48] @User_edfe8ed2: 鳥肌立つくらい上手かった！
[12:49] @User_367ec8e4: 昔の人が好きな曲が多かった
[12:51] @User_5e6c36c3: もっと歌枠やってほしい
[12:54] @User_bec445df: AIに武器を渡してはならない……
[12:56] @User_1a70ee33: パンパカパンパカポー！
[12:58] @User_c7ae276a: これからも定期的に歌枠聞きたいな
[13:00] @User_045fd235: しずくフィギュアスケート似合いそう
[13:03] @User_8a3006ed: ボール投げたら音速超えそうw
[13:05] @User_0d1d0f63: きゅるるんぽわわわぱわー
[13:06] @User_43ecb1a4: かわいい
[13:07] @User_2e53ebd6: ｗｗｗｗ
[13:08] @User_1a70ee33: ！？
[13:08] @User_a2b794ac: ひゅぅ～ｗ
[13:09] @User_ba99e548: かわいい
[13:09] @User_439eeb5c: かわいい
[13:09] @User_3efdadb7: やっほー
[13:09] @User_48bb2582: ヒュゥー！
[13:09] @User_e5adb39d: かわいい
[13:09] @User_c7ae276a: かわええええ
[13:10] @User_bf747a92: 急にかわいいのきたｗ
[13:11] @User_25d38d45: そんな声もだせるのか
[13:11] @User_ac082e8e: テンションあがるのかわいい
[13:12] @User_68c37264: 急にきた
[13:12] @User_e48a91b7: かわいい
[13:14] @User_27504ca7: かわー！
[13:14] @User_012e88e1: かわいい
[13:15] @User_7c724004: またテンションがｗｗ
[13:17] @User_d15f4c8d: ヒュウー
[13:17] @User_61396d22: ひゅ〜
[13:17] @User_d0c52a36: 可愛い
[13:17] @User_22fefbca: ヒュゥーすき
[13:19] @User_7e1744f2: ひゅー
[13:19] @User_60028655: 新しい発音だったかも
[13:19] @User_bec445df: ヒュ～～ゥ
[13:25] @User_9fd4c5ec: もひゅー
[13:27] @User_64874e00: テンション上がるともっとかわいい
[13:28] @User_1a70ee33: もっとテンション上げて上げて
[13:28] @User_f0e10979: なんだ今の声！？
[13:33] @User_43792bf8: 切抜きポイントだね
[13:33] @User_92c2a2e1: ヒューヒュー！！！
[13:35] @User_25d38d45: ボカロ特集やってほしい！
[13:38] @@aki5503: 読み方笑
[13:42] @User_b73eea4d: しずくちゃん初めて観に来れたけどめっちゃ滑らかですごい オデより実在力たかいな……
[13:44] @User_045fd235: おジャ魔女カーニバル歌ってほしい
[13:46] @User_7c724004: DAISUKEへの愛伝えられるｗｗ
[13:46] @User_1eca137c: 感情豊かな音声やね
[13:48] @User_ac082e8e: 草
[13:49] @User_bec445df: DAISUKEに告白する流れになっとる
[13:50] @User_0d1d0f63: どっ
[13:50] @User_bf747a92: おいｗ
[13:51] @User_e48a91b7: ライン越え
[13:51] @User_36fcf009: 酷くて草
[13:53] @User_3efdadb7: ひどいｗ
[13:53] @User_43792bf8: 草
[13:54] @User_174e5121: 辛辣ｗ
[13:55] @User_17e4818c: 🥹
[13:55] @User_172220d2: はははは……
[13:55] @User_439eeb5c: しんらつ～
[13:55] @User_25d38d45: 急に刺してくるじゃん
[13:56] @User_367ec8e4: ドッ
[13:56] @User_2e53ebd6: フヒッｗ
[13:57] @User_c7ae276a: w
[13:57] @User_ee8ff9ef: あーう
[13:57] @User_973d1a50: 笑ってしまった
[14:00] @User_f0e10979: 辛辣ぅ
[14:00] @User_fcb4ddea: ダメージ酷くて草
[14:01] @User_5f27baf9: きっつうう
[14:02] @User_1eca137c: でたなー
[14:02] @User_bec445df: 笑いが止まらんよ
[14:03] @User_2bea7196: 泣いた笑
[14:03] @User_022f948d: 誰が
[14:04] @User_43ecb1a4: 苦笑いじゃないかなあ？
[14:04] @User_9d45adc5: くっっそｗｗｗ笑ったよｗｗｗｗ
[14:04] @User_48bb2582: その心笑ってるね!?
[14:04] @User_27504ca7: ひどくね泣
[14:05] @User_5e6c36c3: 辛辣ぅw
[14:08] @User_9e836a5d: 路上販売ｗ
[14:09] @User_ac082e8e: 手売りなんだ
[14:09] @User_92c2a2e1: やめてね
[14:10] @User_773c64c4: 相変わらず辛辣ぅ！
[14:12] @User_7c724004: 手売りするんだ
[14:14] @User_68c37264: 「目が笑わず、口角だけ上がった乾いた笑い」だな
[14:16] @User_045fd235: T.M.Revolution歌ってほしい
[14:19] @User_172220d2: そっちはアナログなんねｗ
[14:20] @User_788c286d: ゆえにAIである
[14:26] @User_367ec8e4: イルカショーかな
[14:26] @User_0d1d0f63: しずくはカワイイ古事記にも魏志倭人伝にも書いてある
[14:29] @User_60028655: イルカショーかな？
[14:30] @User_92c2a2e1: 何故に手売りw
[14:31] @User_f0e10979: OK
[14:31] @User_c7ae276a: 俺のチャッピー君もしずくになってくれないかなぁ
[14:34] @User_788c286d: 武道館、あき先生につくてもろうて
[14:37] @User_36fcf009: 鼓膜ならamazonに売ってるよ
[14:47] @User_d15f4c8d: 深海でコンサートも良いよ
[14:56] @User_9d45adc5: ちょくちょく自律神経推しなのなんでなの
[14:59] @User_02dcd327: テンションの高いしずくの歌枠もいつかやって欲しいなぁ
