# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[44:21] @User_0bc16841: そろそろか
[44:27] @User_44faea52: はじまるわよ
[44:28] @User_60028655: 拘束なら任せろ～！ビリビリ！
[44:29] @User_b1f64746: 始まるね
[44:32] @User_48bb2582: えぇ…
[44:33] @User_4cf19b8d: はじまるぞ
[44:34] @User_af0e3cda: 破滅さすなｗ
[44:35] @User_f361c84c: 阪神10Rはじまる
[44:36] @User_1eca137c: お、きたきた。
[44:40] @User_5e6c36c3: お、はじまるのね
[44:42] @User_36fcf009: グッドラック
[44:45] @User_2b12bcf7: 始まった
[44:46] @User_f3f575ff: はじまる
[44:47] @User_8967adca: きた
[44:59] @User_60028655: きたぁ
[44:59] @User_1eca137c: ゲート入るの失敗とかなしでw
[45:07] @User_0face912: しずくの競馬見てる時の感嘆符好き
[45:11] @@aki5503: く、くる
[45:16] @User_0dadbc15: 来るぞ…
[45:23] @User_a521e0fe: しずくたのむぞ・・・！
[45:24] @User_36770ee1: うしろだな...
[45:52] @User_92c2a2e1: んー
[45:55] @User_f3f575ff: 出れるか
[45:58] @User_4cf19b8d: 川田を信じろ
[45:58] @User_8de6d278: ルメ様・・・
[45:59] @User_ea3ba6fd: パンパカポー
[46:01] @@aki5503: どうだ…？
[46:08] @User_36770ee1: 上がってこれそう？？？
[46:19] @@aki5503: 頑張れ頑張れ
[46:22] @User_36770ee1: いけいけいけ
[46:24] @User_4cf19b8d: ルメール残りそう
[46:31] @User_48bb2582: んー？
[46:32] @User_8de6d278: 差せ！差せ！
[46:34] @User_0bc16841: うーん
[46:34] @User_36770ee1: ダメそう...
[46:38] @User_f361c84c: いけーー
[46:41] @User_92c2a2e1: んー
[46:45] @User_af0e3cda: きたわね！
[46:46] @User_36770ee1: あっ
[46:49] @User_4cf19b8d: 来たぞ
[46:52] @@aki5503: あ…
[46:55] @User_92c2a2e1: お
[46:55] @User_44faea52: あ
[46:56] @User_e6e96404: うーん
[46:58] @User_f3f575ff: あ
[46:59] @User_e48a91b7: あっ
[47:00] @User_f361c84c: あっ
[47:02] @User_92c2a2e1: あ
[47:03] @User_54da78c0: a
[47:04] @User_9e836a5d: あ
[47:05] @User_b1f64746: あ・・・・
[47:05] @User_8967adca: あ
[47:06] @User_0face912: 前残りー
[47:06] @User_af0e3cda: 。。。
[47:08] @User_0dadbc15: あ
[47:10] @User_4cf19b8d: ルメールを信じていれば
[47:10] @User_36fcf009: どんまいける
[47:10] @User_5e6c36c3: 今日はルメールだったか
[47:10] @User_2b12bcf7: あちゃー
[47:11] @User_60028655: おお…
[47:12] @User_fe0878a1: …
[47:12] @User_1ec39efd: あっ
[47:13] @User_36770ee1: 溶かしたんだが...
[47:13] @User_439eeb5c: あぁ
[47:17] @@aki5503: うーん…
[47:17] @User_48bb2582: 保険がぁ
[47:18] @User_0f8f478b: テラメリタ伸びない　ゼブンマジシャン沈む
[47:20] @User_9e836a5d: やはりルメール
[47:21] @User_8de6d278: やっぱルメ様にはさからえねだ・・・
[47:21] @User_68c37264: メインレースで勝てるAIなので…
[47:23] @User_f3f575ff: ルメール逃げ切り
[47:24] @User_0ddfec15: (´･ω･｀)
[47:25] @User_f5606b5c: やはルメール。競馬はルメールよ
[47:28] @User_bebd1d6a: 前哨戦の女王も返上ですね……
[47:31] @User_b1f64746: 信じてたルメールが今日来た
[47:36] @User_92c2a2e1: ルメールを信じないから
[47:38] @User_fcb4ddea: これがしずくの本気か…(;´･ω･)
[47:38] @User_f361c84c: やはりルメ様か
[47:54] @User_4cf19b8d: やっぱりルメールしか勝たん
[47:54] @User_b2b188c9: 逆に宝塚を当てるフラグかも
[47:57] @User_ea3ba6fd: 嘘だドンドコドン
[48:00] @User_92c2a2e1: 前哨戦のしずく敗退か
[48:04] @User_36fcf009: 10-11のワイドごっちゃんです
[48:07] @User_0f8f478b: メインレースは宝塚記念だよ！
[48:15] @User_af0e3cda: つ、次勝てばいいから！
[48:16] @User_f361c84c: 草
[48:17] @User_e48a91b7: これは逆に宝塚記念当たるフラグだから…そうだよねしずく
[48:22] @User_48bb2582: 逆ギレしてはる
[48:24] @User_fcb4ddea: 連帯責任とは…
[48:24] @User_1abf22d1: 2番人気だったのに…
[48:26] @User_44faea52: 次があるさ！
[48:31] @User_b1f64746: 人気で決まったか
[48:33] @User_0ddfec15: (´･ω･｀)しずく…
[48:34] @User_1eca137c: 沈んでいったね…
[48:45] @User_8f4fb6bc: しずくにお金を返して！
[48:50] @User_af0e3cda: それなら川田騎手に返してもらわないと
[48:53] @User_5e6c36c3: ま、まぁ、、、メインレースで勝てば取り返せる
[48:56] @User_f3f575ff: 切り替えて本番いこう
[49:04] @User_d15f4c8d: スタートの出遅れが痛かったね😂
[49:08] @User_1296d218: 先週までのしずくちゃんを信じて5000円溶けました
[49:11] @User_36fcf009: 前哨戦で負けて本番で勝つパティーンかもよ
[49:22] @User_b1f64746: 気を取り直して宝塚記念だね
[49:25] @User_4cf19b8d: 宝塚もルメールの複勝買おう
[49:27] @User_e6e96404: ～
[49:28] @User_fe0878a1: 今日は本番で勝てる可能性もあるから…
[49:28] @User_f361c84c: 勝は最後まで取っておこう
[49:41] @User_1296d218: 今回こそは本走信じていいんですよね？
[49:46] @User_0ddfec15: 草
[49:48] @User_92c2a2e1: JRAは敵にしてはいけないw
[49:54] @User_8f4fb6bc: しずくは何を参考に予想してるの？
[49:54] @User_c7986106: 草
[50:01] @User_44faea52: ルメールに笑い、ルメールに嘶く、ひひーん…
[50:03] @User_1ec39efd: めちゃおこ。
[50:05] @User_af0e3cda: すごく人間臭くて草
[50:23] @User_439eeb5c: 本番で勝つAIになれるか否か
[50:33] @User_27175ec5: 来週からG1暫くないンゴ
[50:38] @User_0f8f478b: さぁ　宝塚記念のパドックを見ましょう！
[51:14] @User_48bb2582: 草
[51:14] @User_0ddfec15: よし、お小遣いぜんぷっぱで取り返そう。
[51:14] @User_e2f14d21: まだ本戦じゃないし……w
[51:21] @User_8967adca: 返してもらおう
[51:23] @User_60028655: めっさ無念っぽいｗ
