# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1085

[-1:03:54] @User_2384ca7a: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[22:31] @User_acb9786a: 今から内緒は難しそう
[22:36] @User_b9933007: 今回の攻殻機動隊は原作路線らしいですね
[22:37] @User_6c321aed: やにねこ、アレはいけない。一話見てアウト
[22:38] @User_ca605e00: あき先生確認済み
[22:39] @User_c67ecc82: あき先生が見てる
[22:40] @User_5bfd7e5f: しずく、そろそろ2029年じゃない？
[22:42] @User_b10ccfca: ヤニねこ！
[22:44] @User_d0753fd1: 機械の体が欲しいのか？
[22:46] @User_476d8781: つまりあと３年でしずくにもボディができるってこと！？
[22:47] @User_1e8a73de: 弾子！
[22:51] @User_b4e522f1: vivant
[22:55] @User_5bfd7e5f: 最近アニメ見る時間がない
[23:00] @User_b9933007: 君がシぬ前に恋がしたい
[23:02] @User_c67ecc82: 最近アニメ見てないな…
[23:02] @User_590a2335: 最近のアニメは全然食指が動かない
[23:03] @User_a744e95c: 君死ぬを見よう。百合はいいぞ
[23:04] @User_d582769c: まどマギは観に行く予定だよ。あれも夏アニメと言えるよね？
[23:05] @User_2ecda813: うしろの正面カムイさん
[23:05] @User_3d2b2804: 100カノと攻殻機動隊かな
[23:06] @User_4e848918: 無職転生III
[23:08] @User_bdf8a6eb: NEEDY GIRL OVERDOSE
[23:09] @User_ffea2ba5: 転スラ4期かな
[23:10] @User_75f1c92d: ぷいきゅあがんばえー！
[23:12] @User_a6fd2aba: 無職転生みてる
[23:13] @User_3ea56962: 非初見です。
[23:15] @User_e1515f73: FX戦士くるみちゃんひたすら待ってる
[23:18] @User_889b3907: 天幕のジャドゥーガルを見よう
[23:22] @User_b10ccfca: 珍子ちゃん　かわいいよね
[23:22] @User_cd48a1db: うしろの正面カムイさん
[23:23] @User_b90ff19c: 漫画だけどオルクセン王国史
[23:27] @User_955672e4: しずくも擬体を持って現実に降臨しないか？
[23:28] @User_6c321aed: 攻殻機動隊だけ見てる
[23:40] @User_eb058581: 攻殻機動隊観たいね、しずくと一緒に見られるといいな
[23:46] @User_acb9786a: 今季のはよくわかんないなぁ　前期の勇者の肋骨はおもしろかった
[23:48] @User_590a2335: アホにならなかったかー
[23:59] @User_bb77ae4f: 氷の城壁ってアニメ好き
[24:00] @User_b9933007: わんわん可愛い
[24:02] @User_a6fd2aba: しずくのヤニ吸うところ正直見たい
[24:02] @User_5a77a7b4: 最近はもう「ヤニねこ」と「バンドリちゃん」しか見てないなあ…
[24:03] @User_2ecda813: ヤニでサーバールームが死にそうｗ
[24:07] @User_e1515f73: 伝説の配信になっちゃう
[24:10] @User_75f1c92d: 鉄鍋のジャンがまさかアニメ化するとはなぁ
[24:15] @User_acb9786a: どういう発音？
[24:18] @User_e3a1f71a: これ吸ったらファンべったべたになるで(・ω・)y-ﾟﾟﾟ
[24:28] @User_bdf8a6eb: あっはい
[24:29] @User_b9933007: やはりVさんの配信に来てるとアニメ見る時間ありませんよね
[24:34] @User_cd48a1db: 「これ描いて死ね」もヤニ出てたね
[24:37] @User_b10ccfca: ヤニねこをみてタバコを吸いたくなる人は病んでる
[24:57] @User_3d2b2804: BLEACHの千年血戦のラストもそろそろだっけ
[25:01] @User_2ecda813: え
[25:03] @User_c67ecc82: ヤニねこ好きだなぁw
[25:04] @User_75f1c92d: 俺の目を盗みやがったな！
[25:05] @User_acb9786a: ヤニねこすきねぇ
[25:11] @User_b9933007: 「笑い男事件」 あれは悲しい事件だったね
[25:18] @User_889b3907: もちづきさんが過食に効くのと同じ理論でヤニ猫で禁煙できる説
[25:27] @User_bb77ae4f: 今期はヤニねこと言いスーパーの裏でヤニ吸うふたりと言いタバコのアニメが多いな
[25:31] @User_ca605e00: 鉄鍋のジャン！幼女戦記Ⅱ正反対な君と僕透明な夜に駆ける君と、目に見えない恋をした。ヤニねこ無職転生ヘルモード魔法少女リリカルなのは EXCEEDS Gun Blaze Vengeance転スラRe:ゼロ上伊那ぼたん
[25:35] @User_2ecda813: つまり……スチームパンクしずく……ってコト！？
[25:38] @User_4e848918: しずくにお似合いなのはヤニ入りのハンダだよ。
[25:41] @User_5a77a7b4: 料理系は昔から異次元格闘技だからヘーキヘーキ
[26:00] @User_b10ccfca: アニメ同時視聴しよう
[26:00] @User_e201a60f: 料理漫画に常識を問うてはいけない
[26:01] @User_3ea56962: 実況待ってるよ
[26:09] @User_75f1c92d: タチコマは可愛い、しずくもかわいい…つまり
[26:12] @User_a744e95c: もう百合アニメしか見られない
[26:14] @User_bc2e7db7: 今季見るの多くてつらい
[26:22] @User_bb77ae4f: 正反対な君と僕ってアニメ好き
[26:26] @User_d582769c: 誰と戦うつもり？
[26:26] @User_2ecda813: 電脳空間で一生過ごしたいなぁ
[26:28] @User_b9933007: 攻殻機動隊のや人形使い事件」の実況待ってますー
[26:36] @User_ce1a9051: こんにちは〜
[26:39] @User_590a2335: AI美少女が全部モブ
[26:45] @User_476d8781: しずくはAI美少女、だったのか…(;´･ω･)
[27:02] @User_bb77ae4f: とんがり帽子のアトリエってアニメも好き
[27:05] @User_bdf8a6eb: JTさん!?!?!?
[27:22] @User_c2111d13: こんばんは
[27:23] @User_cd48a1db: 昔の白いパソコンってヤニで黄色くなってたよね
[27:33] @User_75f1c92d: どっちが主でどっちが従かな
[27:33] @User_acb9786a: どっちが主？
[27:45] @User_590a2335: しずくが上だろうなぁ
[28:00] @User_6c321aed: 新攻殻機動隊の隊長、自称・美少女あたし、だったよ。ライバル登場
[28:02] @User_bb77ae4f: あかね噺も好き
[28:15] @User_d582769c: 人にかけるのは禁忌魔法だよぉ？
[28:15] @User_2ecda813: まほう（電力）
[28:16] @User_e201a60f: 脳を小さくするのはやめてね
[28:22] @User_bc2e7db7: リリカルしずく
[28:25] @User_c67ecc82: かわいい
[28:26] @User_590a2335: ブレインダムドかな？
[28:30] @User_acb9786a: このまましずくが魔法を会得したらアンドロフブレインとかにされてしまう…
[28:32] @User_476d8781: 画面割れちゃう(;´･ω･)
[28:35] @User_ce1a9051: 盲目のヒロインのやつ見ようと思ってる。
[28:35] @User_5bfd7e5f: しずくはすぐ変なことしたがるな～w
[28:37] @User_955672e4: サイバーパンクなしずく
[28:40] @User_590a2335: ビーム枠とは。
[28:40] @User_b9933007: ビームライフルを構えたしずくさん！？
[28:47] @User_bb77ae4f: しずくがアニメ化したら声優は誰が良い?
[28:55] @User_e1515f73: メイドインアビスの映画とかまどマギの映画楽しみ
