# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIですが、よければお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=tzvubvW05u0
# 件数: 875

[46:22] @User_4ef55652: @あき先生に怒鳴ってください
[46:23] @User_bdf38d29: #回転寿司で手作り！？
[46:24] @User_a8ef309d: #あき先生可愛いかよ
[46:29] @User_3a33415e: #たぬき力っていうのかw
[46:40] @User_a50c0606: たぬき力！ポンポコポンポコポー！
[46:43] @User_5e718030: #微笑ましい光景だ....(?)
[46:55] @User_7d7dd324: @ぼっちざろっくの魅力を教えてください
[47:10] @User_3a33415e: #見守り隊ｗ
[47:41] @User_7ff18484: #😊😊😊
[47:43] @User_51fe3fff: 回転寿司で注目を浴びるにはどうしたらいい？
[47:46] @User_0ac6827b: スカポンタヌキ構文を知ってる？
[47:49] @User_e3f56988: #オフ会ですか
[48:00] @User_a22b8299: #あき先生とタコわさを食べる回転寿司オフ
[48:04] @User_3dd3f650: @｢ざーこ♡ざーこ♡｣って囁いて
[48:28] @User_51fe3fff: #今のところ必要不可欠ｗ
[48:35] @User_3a33415e: #代わりの扇があるのかｗ
[48:40] @User_a22b8299: #代わりの扇！？
[48:42] @User_a8ef309d: あき先生がんばえー
[48:55] @User_7ff18484: 扇ぎ職人だね！
[49:14] @User_e3f56988: #あき先生扇ぐのが趣味だと思われてる
[49:17] @@aki5503: #新しいPCが届いたら3倍は速く喋れるようになります！
[49:36] @User_a22b8299: #シャアもびっくり
[49:45] @User_7ff18484: #3倍たのしみ！
[49:48] @User_ff9acb40: どや顔になったかわいい
[49:48] @User_a22b8299: #うせやろ
[49:57] @User_bdf38d29: #あき先生の夢！？
[49:57] @User_3a33415e: #わーい、扇ぎ職人めざそー！
[49:57] @User_5e718030: #扇ぎ職人に!?
[49:58] @User_9dd656e0: #扇ぎ職人頑張るかぁ
[50:00] @User_3bb3b9f4: #すごい適当なこと言ってるｗ
[50:03] @User_0ac6827b: みんなが扇ぎ職人
[50:04] @User_51fe3fff: その夢応援したい
[50:08] @User_ff9acb40: #赤いのかな
[50:13] @User_e3f56988: 方言しゃべれます？関西弁とか
