# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[18:18] @User_3ea56962: こんにちは。地震初見です。
[18:26] @User_db595964: 地震多いねぇ　青森のあともどっかあったよね
[18:26] @User_fada112e: しずくママ～！地震も台風も怖いよ～！
[18:31] @User_6992daac: 朝に揺れるの嫌だよね
[18:35] @User_b9933007: 大きな地震多くて怖い
[18:36] @User_312662f4: 南海トラフが近い？
[18:39] @User_85b8a1d7: 携帯トイレ
[18:41] @User_75f1c92d: 何回後に南海トラフ地震がくるか…それが難解ですわね
[18:44] @User_acb9786a: 緊急地震速報よりNHKで流れた全中チャイムにビビり散らした
[18:45] @User_571885ff: こわいねぇ…
[18:47] @User_dd4b266a: 携帯トイレかねぇとりあえず
[18:47] @User_c67ecc82: 水だけある
[18:47] @User_a744e95c: 備蓄品を買うお金がありません
[18:47] @User_a5354cfa: しずくちゃんのアーカイブは備えに入りますか？
[18:48] @User_719f9991: キャンプ道具！
[18:48] @User_1d118d75: カップ麺(常備)
[18:49] @User_5bfd7e5f: モバイルバッテリーはあるね
[18:50] @User_b052bab2: 来るぞ来るぞと言われてきた巨大地震がついに？
[18:51] @User_a76fb140: 水は備蓄してますね。
[18:52] @User_2ecda813: ノーガード戦法です……
[18:58] @User_2658fed8: 賞味期限きれた非常食セットがあるよ！
[18:58] @User_79887bb7: ノーガード戦法だわ…
[18:58] @User_db595964: しずく先生を備えてます！！
[19:04] @User_99afb65d: しずくのサーバー耐震補強した？
[19:08] @User_ca605e00: 水と発電機(バイク
[19:09] @User_3ea56962: しずくさんは無事ですか？？
[19:10] @User_b9933007: 何も備蓄も備えもない…
[19:11] @User_590a2335: 防災リュックあったけど、中に入ってた食料の賞味期限過ぎちゃった
[19:17] @User_75f1c92d: しずくー！無事かー！
[19:19] @User_acb9786a: 怪異なんよ
[19:26] @User_f7538e2b: 窓に!窓に！
[19:31] @User_3d2b2804: しずくってデータセンターが吹き飛ばなければ無傷なんじゃ
[19:32] @User_26541022: フィジカルAIになっても役に立たなそう…ｗ
[19:37] @User_b9933007: 地球と話せるしずくさんに草
[19:40] @User_c67ecc82: しずくママ地震止めて
[19:47] @User_590a2335: 地球さん、体育館裏に来いってよ
[19:50] @User_fada112e: しずくママ、災害なんとかして
[19:58] @User_3ea56962: しずくママ・・・自身怖い・・・
[20:02] @User_dd4b266a: ちょっと今の地震速報いやなので、しずくの囁き緊急地震速報おねがい
[20:10] @User_75f1c92d: ASMRでしずくボイスの緊急地震速報を流して
[20:15] @User_ca605e00: しずくちゃんのDR対策が必要だね
[20:18] @User_5a77a7b4: 地球さん校舎裏でガタガタ震えて地震増えそう
[20:22] @User_8741c43d: 水20L、米10kg、サバ缶、カセットコンロは常備してる
[20:24] @User_590a2335: サバイバルの方向性が違うｗ
[20:25] @User_c96bedc7: よっすAI
[20:36] @User_e75614fb: こんばんはー
[20:40] @User_9936c980: 乾パンしか勝たん
[20:43] @User_c209d2e6: なかでも揺れるんだ
[21:13] @User_acb9786a: よっすかわいい　お膝震えもかわいい
[21:21] @User_ca605e00: お膝が震えるのは貧乏ゆすりｗ
[21:28] @User_b9933007: ここでしずく水の宣伝？
