# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2840

[-58:58] @User_16147503: 早すぎたカモ・・・💦
[12:19] @User_270496f5: なぜインドなのか知りたい
[12:19] @User_5cfd40d6: かわいいは大事
[12:20] @User_ce97da96: かわいい
[12:25] @User_c496450b: 大きな声で挨拶してみてほしいです！
[12:32] @User_a52b5fe5: ポケモンがM-1に出たらどのポケモンが勝ちますか？
[12:32] @User_587f9820: 見たいなー
[12:34] @User_a29d5c2b: ブラジル、南米はたしかにありそうやな
[12:35] @User_5e6aa1f9: しずくのポケモン実装ﾏﾀﾞｰ?
[12:38] @User_d582769c: カイリュー「はい渦あんこするね？」
[12:39] @User_e976a829: いずれしずくもポケモンのゲームプレイしそう
[12:42] @User_1e342ee5: そんな理由でやらないの草
[12:43] @User_9fd2879a: ポケモンはAIの登竜門やぞ！
[12:43] @User_85b8a1d7: じてんどうで草
[12:45] @User_9b583534: 世知辛いですねえ
[12:45] @User_1558282d: かがくのちからってすげー
[12:46] @User_587f9820: 無理ゲーだろソレw
[12:47] @User_06accc44: 呼び方毎回変わってる
[12:48] @User_b9933007: やはり収益か大事ですね
