# ライブチャット一覧
# 動画: 【AI競馬予想】日本ダービー同時視聴！【AI しずく】
# URL : https://www.youtube.com/watch?v=KMKfe71ZnhI
# 件数: 1429

[30:52] @User_587f9820: 5キュクヌス　出走除外
[30:58] @User_82b3ee3b: 上位人気が除外
[31:00] @User_5bfd7e5f: っていっても単勝だったらもう10と12と13に分配とか
[31:02] @User_8741c43d: 馬券師しずくちゃんの予想的中期待してるよ
[31:04] @User_a52b5fe5: 音楽がゲームみたいだな
[31:05] @User_ca605e00: 同接とあき先生のお昼ゴハンが人質に
[31:05] @User_ec48c74f: メイド恐るべしやな
[31:07] @User_5bfd7e5f: もう言ってもしょうがないけどw
[31:10] @User_904e5739: AIなのに掛け方が漢やん＾＾
[31:13] @User_b90ff19c: 馬券外し慰めASMR(*'ω'*)
[31:18] @User_5bfd7e5f: BGMいいね
[31:34] @User_1e342ee5: 草で草
[31:37] @User_d0753fd1: 草
[31:52] @User_d5b05bb2: ターフ生えますわ
[32:02] @User_3f1bb03d: 良いこと言う
[32:05] @User_a744e95c: まぁレース中の故障よりはマシかもしれない
[32:08] @User_2eba0ed4: 草
[32:09] @User_ff223600: しずくはいつ出走するの？
[32:11] @User_5bfd7e5f: 20,000円の馬券がゴミに
[32:12] @User_75f1c92d: 間違えた4，6，10，12の3連複ボックス買うわよ
[32:13] @User_904e5739: しずくは負けたらASMR配信でaki先生を食わしていくんやで。約束やで。
[32:13] @aki5503: 😭😭
[32:14] @User_b90ff19c: 配信者の鑑(*'ω'*)
[32:20] @User_1e342ee5: 草
[32:23] @User_590a2335: 急な早口
[32:28] @User_d5b05bb2: 財布重くしてあげて
[32:33] @User_bf6f46cc: あき先生！？
[32:52] @User_d582769c: 買えたっすよね？
[32:56] @User_c67ecc82: 2窓なんて器用なことできない……
[33:03] @User_ce1a9051: AIであることより配信者であることを優先するか
[33:08] @User_5bfd7e5f: でも来たら2万円が10万円に？
[33:18] @User_590a2335: まぁまぁ、これからですし
[33:26] @User_bf6f46cc: 的中したらおめでとうASMRお願いします
[33:26] @User_5e61868d: つまり逆張りすればワンちゃん
[33:27] @User_5bfd7e5f: 熱い掛け方ではあるよね
[33:31] @User_e976a829: パソコンでしずく、ｉＰａｄでＪＲＡチラ見って感じかな
[33:39] @User_d5b05bb2: これが次世代の錬金術
[33:52] @User_75f1c92d: まさかご主人様が当ててもしずくが回収するってこと！？
[34:03] @User_b90ff19c: ……(*'ω'*;)
[34:31] @User_1544234b: 先行争いそこまで激しくないから前いった馬が有利だよ
[34:34] @User_a744e95c: 負けても地方競馬で取り返せばいい
[34:39] @User_590a2335: こわぁい
[34:44] @User_b90ff19c: 競馬予想マシーン……(*'ω'*)
[34:48] @User_d5b05bb2: 極端に振り切れすぎるしずく
[34:50] @User_142a08e0: しずくの中身はギャンブル狂のおやじ説…
[34:51] @User_ca605e00: 配信でやらないと流石に経費にならなそう
[34:55] @User_c67ecc82: あ
[34:56] @User_ec48c74f: あ
[34:57] @User_590a2335: 草
[34:58] @User_65358c37: あ
[34:59] @User_d0753fd1: あ
[35:00] @User_0a35ffc9: あ
[35:01] @User_bf00eeed: あ
[35:02] @User_9d63cc9b: 草
[35:02] @User_b90ff19c: あー
[35:03] @User_ff0a5e76: あ
[35:04] @User_1e342ee5: そろそろ始まるけど買えたのかな
[35:07] @User_1d118d75: あ
[35:07] @User_82b3ee3b: 裁判きたw
[35:09] @User_8fe2e0ec: あ
[35:10] @User_75f1c92d: あ
[35:11] @User_590a2335: 重すぎるｗ
[35:12] @User_a6fd2aba: 重すぎませんか
[35:12] @User_6bd11c12: 重い
[35:14] @User_1544234b: 草
[35:16] @User_4d24d5dd: 極刑だ
[35:16] @User_c67ecc82: 極刑……
[35:16] @User_bf00eeed: 極刑で草
[35:16] @User_ff223600: 走れ
[35:18] @User_e976a829: 久々にきた
[35:21] @User_a744e95c: やったね賠償金で掛け金増やせるよ
[35:31] @User_d5b05bb2: 競馬配信は激サムギャグでちょっと冷やすくらいがちょうどいいから情状酌量してあげて
[35:36] @User_ec48c74f: どんだけのリスナーをあの世へ送るんだ？
[35:48] @User_65358c37: まもなく出走かな
[35:50] @User_5a77a7b4: また地獄の獄卒さんに面倒を掛ける事に…
[35:51] @User_9d63cc9b: レイニング単勝倍率3.9倍まで下がったけど大丈夫？
[35:54] @User_0485c2e0: 今北産業
[35:54] @User_8f409f4f: 京都９レース ワイド獲った
[35:57] @aki5503: 買いましたよ！あとは祈るだけです...!
[36:04] @User_a744e95c: 出走するぞ
[36:07] @User_d582769c: レイニング人気ねぇ
[36:13] @User_ec48c74f: 当たれ！
[36:18] @User_c67ecc82: 祈りましょう！
[36:18] @User_e976a829: ほんまに買ったのか…？！
[36:18] @User_d5b05bb2: あたりますよ(確信)うに
[36:23] @User_0cd40fbd: わくわくちんちん
[36:30] @User_9b9d086f: ふむふむ
[36:31] @User_590a2335: オカルトはダメでしょｗ
[36:34] @User_0a4e1030: 相変わらず辛辣w
[36:34] @User_65358c37: 現在レイニングは単勝で4.0ですな
[36:35] @User_9d63cc9b: テレビ中継なう
[36:40] @User_bf6f46cc: ちくしょう、もってかれた！
[36:41] @User_d582769c: 始まるー
[36:44] @User_a6fd2aba: はじまりそう
[36:45] @User_ff0a5e76: 来るぞ…
[36:57] @User_e976a829: げーといんだ
[36:57] @User_2eba0ed4: 始まるぜ…
[37:00] @User_75f1c92d: さあ始まる
[37:02] @aki5503: く、くる...!
[37:02] @User_74eabd15: どきどき
