# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[58:11] @User_eab77a86: スカスカを思い出しますね・・・(涙)
[58:18] @User_0d9f165f: たまに声が裏返るところ　不具合なんだろうけど　妙に人間っぽいな
[59:08] @User_7214a7f6: 素晴らしい
[59:28] @User_3a33415e: 👏👏👏👏
[59:29] @User_9453d8e4: 👏👏👏👏👏
[59:31] @User_b8f12a06: hi
[59:32] @User_36fcf009: 👏👏👏👏👏
[59:35] @User_f282cfe9: 👏👏👏👏👏👏👏👏
[59:36] @User_ff1c78bd: 👏👏👏👏👏
[59:37] @User_9264776f: 👏👏👏👏👏
[59:37] @User_7214a7f6: 👋👋👋👋
[59:37] @User_5b93ce57: ちょっと感動してしまった
[59:39] @User_595fe723: 👏👏👏👏👏
