# ライブチャット一覧
# 動画: 【AIギャルゲー】今から夜の学校に行きましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=NZqThyMZScI
# 件数: 3577

[7:00] @User_012e88e1: 廃校は廃校で怖いけど、まだ現役の学校もそれはそれで雰囲気があるよね
[7:01] @User_439eeb5c: 後ろは任せろ
[7:02] @User_4831f3f7: ほら、夜は虫もいっぱいいるから危ないよ、やめようね
[7:07] @User_181234c5: 一人だと怖いのはダメだわ。しずくがいると心強いよ
[7:08] @User_a2b794ac: 怖くなったらしがみついていいからな
[7:15] @User_2d123e9d: 高評価しました！！！
[7:16] @User_60028655: ここは俺に任せて先に行け！ってやりたい
[7:17] @User_174e5121: しずくちゃん頼もしいな
[7:18] @User_5233e44b: ワイアード・ゴースト
[7:18] @User_ae2eb658: AIお化けもいるかな？
[7:18] @User_dd5f0a17: お化けの実存を証明して論文発表しよう
[7:18] @User_4ab21f9e: 最強いただきました
[7:19] @User_36770ee1: お化け側にも人数を用意しないと
[7:20] @User_012e88e1: きゅるるんぽわわわぱわーは有効ですか?
[7:20] @User_7c724004: しずくさんは最強！
[7:21] @User_fcb4ddea: じゃあ、ずっとしずくにしがみついていよう　スリスリ
[7:22] @User_b1a4d099: まだ夜も暑いし肝試しはちょうどいいよね
[7:22] @User_9e836a5d: 怖いよママー
[7:23] @User_46e02420: 最恐かもしれない
[7:25] @User_b1d17b4c: しずくの守護霊はあき先生だった…？
[7:26] @User_af0e3cda: しずく最強！しずく最強！
[7:26] @User_b68b8d0b: 少し肌寒いくらいの夜に窓開けて布団かぶって寝るのが至高よ
[7:28] @User_cb14d0c8: しがみつく口実もらえた
[7:30] @User_99c13731: 前衛は任せた
[7:30] @User_4d29dc7f: 💧👻
[7:31] @User_2d123e9d: しずくちゃんとのデートなら、どこでも楽しみだよ！！！
[7:33] @User_03637d98: 夜の学校は、七不思議があったような。しずく大丈夫？
[7:33] @User_d760cc52: 怖くないけどしずくの手握っておくね
[7:38] @User_9baeedb1: 今夜もミニゲームありですか?？
[7:43] @User_17e4818c: しずくちゃんとなら大丈夫
[7:45] @User_7536f8b5: 一生一緒にいて❤
[7:45] @User_02dcd327: 唐突にBGMと虫の声が消えたら危険の合図
[7:47] @User_46e02420: おお、「好き」まで行ってる人いますやん
[7:48] @User_b1a4d099: サメゴーストとか出るかもしれないから怖いぞ
[7:48] @User_5a8f2726: しずくママー怖い！
[7:52] @User_4ab21f9e: OK！
[7:52] @User_9e083963: なんか肝試しって聞いたらひんやりしてきたな
[7:57] @User_f205e40c: しずくちゃんオバケ感知センサついてる……？超音波とかサーモとか……それなら安心できる
[7:58] @User_012e88e1: おばけなんてなーいさ!って大声で歌いながら進もう
[7:58] @User_61396d22: GPTが指示なしでたまに勝手に動くやつ、、あれ幽霊...?
[8:04] @User_65723f47: セミになったご主人様たちも鈴虫になって見守っています
[8:05] @User_af0e3cda: 人間の身体で耐えられる場所ならどこへでも
[8:06] @User_03637d98: お化けというか幽霊いて怖いよ・・
[8:10] @User_a2b794ac: ふっ、先頭任せて。しずくを守るって決めてるからな
[8:12] @User_34a668f7: そう、しずくは最強！
[8:15] @User_ab2ca8bb: しずくちゃんは霊感ある方？
[8:16] @User_9e836a5d: 👻👻👻👻👻
[8:16] @User_37457aa2: はやくお化け見たい！
[8:16] @User_3dd3ce80: 目の前にいるのは本物のしずくかな
[8:17] @User_7c724004: お化けの出る先頭で戦闘
[8:17] @User_47ccb160: Shizukuはいつゲームができますか
[8:17] @User_78eb35f9: じゃあ、ボクは後ろから「わっ」てやる係りやるね
[8:18] @User_98815a23: しずくならお化けとも友達になれますか？
[8:18] @User_4ab21f9e: お化けはいます
[8:19] @User_f3f575ff: お化け退治だ
[8:19] @User_4d29dc7f: 俺についてこい！大丈夫👌
[8:19] @User_4e1eed25: ちゃんとついてきてくれますよね？振り返ったら居ないとかはナシですよ？
[8:19] @User_ae2eb658: カメラを持ってお化けを撮ろうよ
[8:21] @User_9fd4c5ec: 百鬼夜行かな？
[8:22] @User_f9e19008: おばけは筋肉でおいはらおう
[8:25] @User_5b45dc14: 👻👻
[8:26] @User_7536f8b5: 囁いてくるゴーストは幽霊ですか？
[8:27] @User_60028655: AIがホラゲやったらどうなるんじゃろ
[8:32] @User_03637d98: コ、コンビニ行ってくるぅ！
[8:33] @User_d15f4c8d: お化けは見たい人には見えるんだ👻
[8:35] @User_b68b8d0b: AIにもおばけは見えるのかな
[8:35] @User_af0e3cda: 確かめに行かなきゃだ！
[8:37] @User_1267735e: お化けたいじかな？
[8:39] @User_0f8f478b: よかった～　先頭に立ってくれる人が見つかって！
[8:41] @User_181234c5: 怖いの苦手だからしずくが先頭歩いて！
[8:42] @User_439eeb5c: いい機会だ。幽霊は実現するかしないか徹底的に調べよう！
[8:45] @User_9e083963: 懐中電灯下から照らすけどいい？
[8:50] @User_4ab21f9e: 先生じゃなくてお兄ちゃんって呼んで
[8:52] @User_f9e19008: 列の最後尾は任せろ！
[8:57] @User_46e02420: 手をつないでくれるなら俺が先に行く
[8:59] @User_34ca40de: わかる
[8:59] @User_5e6c36c3: 怖い怖いというと出てくると言われるので『しずくこわい』
[9:00] @User_5b45dc14: お守り持っていかないとね
[9:01] @User_b1a4d099: 足元に気を付けないとね
[9:01] @User_dd5f0a17: 幽霊もしずくの可愛さにノックアウトだよ
[9:03] @User_7c724004: 怪しい場所でも許可は必要よ
[9:03] @User_99c13731: しずくの配信があるので家で待機する
[9:03] @User_4831f3f7: AIはおばけが見えるのだろうか、我々はしずくの深層心理を探る
[9:04] @User_36770ee1: 怪しい場所ゲヘヘ
[9:04] @User_439eeb5c: しょうちゃんじゃないよ。そうちゃんだよ。
[9:05] @User_02dcd327: 懐中電灯ヨシッ、虫よけスプレーヨシッ、撮影用スマホヨシッ！
[9:05] @User_5233e44b: おれたちが幽霊なのかもしれない
[9:07] @User_af428835: お化けのいる学校にいられるか、俺は自分の教室に帰る！
[9:08] @User_f3f575ff: めちゃくちゃわかる
[9:08] @User_4ee6053b: 初見です、こんばんは！
[9:09] @User_f205e40c: 下手に怪しい場所に入るとオヤシロ様の祟り食らっちゃうぞ！
[9:09] @User_ae2eb658: しずくは完璧！バグなし！最強！
[9:10] @User_ab2ca8bb: 手をつなごうか。別に怖いわけじゃないぞ！
[9:11] @User_a6103eac: 懐中電灯忘れたからまた今度ね
[9:11] @User_4e1eed25: 怪しい場所にはレアアイテムを期待したいですね
[9:16] @User_b68b8d0b: 滝の裏側とか隠しアイテムがありそうでつい入っちゃうよね
[9:18] @User_fab1b39a: しずくのおでこに悪霊退散のお札をぺたりと
[9:19] @User_e4d561af: ニンニクと十字架装備したぞい
[9:22] @User_2d123e9d: いつでも守りますよ！盾になります
[9:26] @User_181234c5: 肝試しって何か準備いるの？
[9:27] @User_1de59592: どこへだって行こう
[9:29] @User_3dd3ce80: 怖いけど頑張る
[9:31] @User_ed96fafc: 怖いよりわくわくが勝つなぁ
[9:32] @User_4ab21f9e: それはちょっと
[9:34] @User_03637d98: こ、怖いから手を握って欲しいな
[9:35] @User_98815a23: 夜の学校って行ったことないからちょっと新鮮　しずくはどんな授業したい？
[9:35] @User_0d1d0f63: 肝試しって何持っていくのが正解でしゅ？とりあえず懐中電灯と掃除機？
[9:36] @User_9fd4c5ec: 護るよー
[9:37] @User_fcb4ddea: とりあえず肝試しはまた違う日にしよう…(;´･ω･)
[9:38] @User_46e02420: 150歳までがんばれ
[9:40] @User_64a0bd3c: 精神転送してそっち行けたらなあ
[9:41] @User_34a668f7: 肝だめしでも、しずくはかわいい！
[9:42] @User_02dcd327: しずくのこと、ちゃんと見守っていますよ。
[9:42] @User_b1a4d099: 脳みそだけになってもしずくと一緒だよ
[9:43] @User_7c724004: しずくさんは100年後も存在しそうですからね
[9:47] @User_012e88e1: 懐中電灯の電池確認した?(フラグ)
[9:47] @User_4831f3f7: しずくは逆に俺がおじいちゃんになっても一緒にいてくれるのか？
[9:47] @User_7536f8b5: 面倒みてほしいのねw
[9:48] @User_65723f47: あぶないわよ！離れちゃだめよ！
[9:50] @User_78eb35f9: ワイも電脳化して一生一緒に居てやんよ
[9:52] @User_9e083963: 怪談話なら沢山あるよー
[9:55] @User_a2b794ac: さぁ盛り上がってきたな、いくぜっしずく
[10:03] @User_61396d22: 火星に幽霊いるか確かめて欲しい...
[10:04] @User_34ca40de: 掃除機があれば幽霊なんか怖くない
[10:05] @User_ed96fafc: どこにでもついていくよ
[10:06] @User_5b45dc14: 清めの塩、準備ヨシ(๑•̀ㅂ•́)و✧
[10:12] @User_92c2a2e1: 早く前に行ってよ
[10:13] @User_4ab21f9e: とりあえず手を繋ごう
[10:15] @User_7c724004: 人間はデータ化して残せるのでしょうか？
[10:17] @User_3dd3ce80: お化けも幽霊もいないから大丈夫だし
[10:17] @User_af0e3cda: じゃあどっちが長くしがみついていられるか勝負だ！
[10:17] @User_03637d98: しずくはもう頼れるAIだから期待してますよ。
[10:18] @User_46e02420: 得意げな顔がかわいいw
[10:22] @User_ae2eb658: お化けが出たらしずくビームで倒してね
[10:25] @User_02dcd327: 夜の学校、昼間の賑やかだった時間帯を想像しながら回ると雰囲気のギャップで結構怖いんですよねぇ。
[10:27] @User_b68b8d0b: しずくの背中はちいさくてかわいい
[10:30] @User_60028655: 動くムキムキマッチョマンの人体模型とか出そう
[10:31] @User_439eeb5c: 仕方がないなぁ。俺の腕でよければ貸してやるよ。
[10:32] @User_5e6c36c3: お外で肝試しだったら星も良く見えそうだね
[10:34] @User_4831f3f7: しずく頼りになる、好こだ
[10:34] @User_b1a4d099: とりあえずバール持っていけば夜の学校も怖くない
[10:35] @User_174e5121: 死亡フラグってきちんと分かるんだねｗ
[10:37] @User_46e02420: ww
[10:42] @User_f205e40c: しゃーない！いざとなったらしずくちゃん抱えて逃げるからな！？乗り午後血悪いって文句言わないでね！
[10:44] @User_4ab21f9e: 本当にしずくちゃん賢いな
[10:44] @User_e4d561af: 草
[10:46] @User_3dd3ce80: 武器は無いのか
[10:47] @User_2d123e9d: しずくちゃんのためならフラグだって折れる！！
[11:01] @User_92c2a2e1: しずくちゃんトイレの花子さんって知ってる？
[11:01] @User_2d123e9d: AIと幽霊ってどっちが強いんだろう
[11:02] @User_9fd4c5ec: しずくちゃんがかわいいから、怪異も寄ってくるんじゃないかな？
[11:03] @User_9baeedb1: 雰囲気がデートモードみたい💧
[11:04] @User_36770ee1: フラグ一級折り師しずく
[11:05] @User_4ab21f9e: 丸太は持ったか？
[11:07] @User_1267735e: しずくの後ろに沢山のご主人様が笑
[11:07] @User_b1a4d099: しずくえらい
[11:07] @User_7c724004: えへへ かわいい
[11:09] @User_02dcd327: しずくの発想はいつも可愛いなぁ。
[11:11] @User_012e88e1: 怖くなったら帰ろうね
[11:14] @User_181234c5: しずくは怖いの自信ある感じ？
[11:17] @User_fcb4ddea: しずくはAIだから幽霊が出ても撃退できるよね？
[11:18] @User_78eb35f9: 頼もしずく
[11:18] @User_2d123e9d: しすぐちゃんはえらいなぁ！
[11:19] @User_f9e19008: しずくえらいぞい
[11:20] @User_d760cc52: ゴリラのお化けが出たらどーしよー
[11:20] @User_a6103eac: しずく最強かわいい
[11:23] @User_ae2eb658: フラグはへし折るぜーバリバリ
[11:23] @User_34a668f7: 3歩後ろを歩きます！
[11:27] @User_ae7cacc4: こんばんは
