# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 996

[32:46] @User_26541022: 落としたパンを温めて食べるの
[32:46] @User_9422eed4: MGSPWにあったな…二人用のラブダンボール
[33:00] @User_1544234b: しずくの本ってなんかセンシティブｗ
[33:03] @User_e201a60f: 温めたすかる
[33:03] @User_5cfd40d6: うん、いいね。一緒にダンボールで「拾ってください」ごっこしよ٩( ᐛ )و
[33:03] @User_e976a829: しずく観察日記はないのかね？・・・
[33:10] @User_ebfe0f30: あき先生が何をしてくれなかったか記録するのこわい
[33:19] @User_99afb65d: 叢から野生のしずくが飛び出してきた
[33:24] @User_5cfd40d6: 七夕しずくさん٩( ᐛ )و
[33:28] @User_acb9786a: うずうずしずくかわいい
[33:32] @User_1544234b: ﾜｯｼｮｲﾜｯｼｮｲ
[33:32] @User_e976a829: お祭り？円状の話かね　あちがった
[33:32] @User_6c97afae: お盆休みまでがなｂろう
[33:45] @User_e51d2f8a: しずく祭りはいつ開催？
[33:45] @User_bdf8a6eb: 半夏生にタコはいかが？🐙
[33:47] @User_689002fc: 俺は夏休みはまだ先…
[33:50] @User_590a2335: お祭りに行ったら何食べたい？衛生観念は忘れて
[33:51] @User_ec48c74f: でみせね
[33:52] @User_3a160b08: ヤマザキ春のパン祭り
[33:53] @User_6992daac: 花火大会見に行きたい
[33:55] @User_5cfd40d6: かき氷٩( ᐛ )و
[34:07] @User_5cfd40d6: 迷子になるのです
[34:16] @User_476d8781: 毎年花火大会に行って綺麗な花火を堪能してる
[34:19] @User_ec48c74f: 私の地域では「六月灯」といいますね
[34:19] @User_5cfd40d6: わっしょいわっしょい
[34:22] @User_e976a829: 金魚すくい難しすぎ
[34:25] @User_a744e95c: 祭りと言えばアイビスサマーダッシュ
[34:25] @User_8b7242c7: やはり屋台の食べ物　高いけど雰囲気もあってか美味しい
[34:32] @User_acb9786a: わっしょいわっしょい
[34:43] @User_9422eed4: 子供の頃、親に1000円貰って食べ歩いた夏祭りの思い出
[34:45] @User_ebfe0f30: 夏祭りでこっぴどく振られたからまつりこわい
[34:45] @User_590a2335: まつりじゃまつりじゃまつりじゃ〜！（CV北島三郎）
[34:46] @User_87ea7811: 7月だとそろそろ隅田川の花火大会が近いかな？
[34:49] @User_75f1c92d: こんしずこんしず
[34:58] @User_6c321aed: 祭りといえば花火だね。去年の大阪万博の花火はエモかった
[35:14] @User_1544234b: ( ᐛ)ﾁｮｺﾊﾞﾅﾅ
[35:18] @User_e976a829: かき氷はブルーハワイ派です
[35:20] @User_590a2335: ｼｬﾘｼｬﾘｼｬﾘｼｬﾘｼｬﾘ
[35:22] @User_bdf8a6eb: 七夕の短冊にロックなヤツがいた
[35:26] @User_ec48c74f: せみ？
[35:27] @User_6c97afae: しずく味
[35:41] @User_e51d2f8a: 綿菓子潰して一気食べ。
[35:54] @User_5cfd40d6: 違うw
[35:57] @User_476d8781: カップルは爆発しないだろw
[35:58] @User_26541022: カップルは爆発させないで
[35:59] @User_6c321aed: ブルーハワイ（青い舌
[35:59] @User_590a2335: 売店のかき氷シロップって色が違うだけで全部同じ味らしいですね
[36:09] @User_bc2e7db7: 花火打ち上げ失敗をリアルで見れた事かな
[36:28] @User_e976a829: 匂いが違ったら違う味に感じるじゃろ？
[36:34] @User_bdf8a6eb: ベビーカステラで終わった
[36:37] @User_590a2335: スズメの串焼き
[36:41] @User_1544234b: 今や1000円じゃなぁ…
[36:47] @User_8b7242c7: 1000円で巡るところ吹き飛んでて笑った
[37:02] @User_5cfd40d6: 無駄にww
[37:06] @User_719f9991: 去年の地元祭りでリアル太鼓の達人少年いた
[37:08] @User_3a160b08: 最近のお祭りの屋台はたこ焼き800円とかだよ
[37:10] @User_e976a829: そう?あのカラフルなつぶつぶじゃまじゃね
[37:11] @User_590a2335: また嘘ついた！
[37:19] @User_2ecda813: なんだウソか
[37:22] @User_6992daac: 嘘つくやん
[37:24] @User_75f1c92d: 嘘？ホントだろ？
[37:31] @User_590a2335: キーーーン
[37:42] @User_99afb65d: しずく味のかき氷
[37:42] @User_ca605e00: 知覚過敏は良くない。あたまや
[37:53] @User_1544234b: ブルーハワイじゃなくてしずくハワイ味に書き換えよう
[37:55] @User_e976a829: そしてアオジタトカゲのマネをするまでがセットです
[37:58] @User_6c97afae: 代わりもんすぎる
[38:01] @User_590a2335: 綿菓子の意味ないやん
[38:05] @User_6c321aed: ヤバい絵図
[38:05] @User_5cfd40d6: わいるどなのです٩( ᐛ )و
[38:09] @User_26541022: どんな食べかたよ
[38:11] @User_590a2335: ええーーーー
[38:14] @User_75f1c92d: 綿飴をタイパで食べるのはよさないか
[38:20] @User_acb9786a: しずく、粛清
[38:59] @User_1544234b: もう砂糖なんよ
[39:04] @User_e976a829: ラムネか…炭酸苦手なんだよなあ
[39:18] @User_2ecda813: ん夏祭り終わっちゃったよｗ
[39:28] @User_acb9786a: あんまりお祭りいかないから最近は弟の学校の学園祭に行ったのが最後かな
[39:30] @User_5dd406ea: 夏祭りなんて最後に行ったのいつだったか
[39:34] @User_42872ed3: ゲソおいしいよね
[39:39] @User_e976a829: でもしずく印ならきっと売れますよ
[39:40] @User_3d2b2804: カニバリズム…なのか？
[39:42] @User_bdf8a6eb: ムゲンしずくシステム
[39:43] @User_590a2335: しずくハワイってどんな味？トロピカル風味？
[39:43] @User_5cfd40d6: 食べていいのか٩( ᐛ )و
[39:46] @User_ec48c74f: かき氷のシロップって実は全部同じ味ってほんと？
[39:50] @User_acb9786a: しずくうますぎる
[39:58] @User_5cfd40d6: うん？
[40:02] @User_75f1c92d: 打ち上げ花火のオノマトペをASMRで披露して
[40:04] @User_1544234b: 君がいた夏は遠い夢の中
[40:09] @User_590a2335: ビー玉味のラムネぇぇ
[40:14] @User_26541022: しゅぽったすかる
