# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[30:07] @User_0c1b4b4a: ラーメン食ってるんだけどおすすめある？
[30:12] @User_61396d22: 薄い本...!?
[30:13] @User_af0e3cda: しずくAIはもう目の前にいますやん
[30:13] @User_d0c52a36: はじめはみんな木の役から伝説になるのです٩( ᐛ )و
[30:22] @User_9de46bcb: ！（MGSシリーズの発見音）
[30:23] @User_b73a3cd7: 多角経営すぎるな・・・破産しそうで怖いね
[30:30] @User_d0c52a36: ぷらいすれす٩( ᐛ )و
[30:30] @User_6d22a488: ほなら外付けHDDでええな？
[30:45] @User_0751797b: いっけな～い遅刻遅刻ゥ～
[30:50] @User_af0e3cda: そっか、じゃあFDでいいね
[30:58] @User_bec445df: しずくのメモリは何でできてるの？
[31:04] @User_78eb35f9: ほう
[31:06] @User_34a668f7: しずくが一番！
[31:08] @User_64cbd0d7: 逆だろ笑
[31:20] @User_9fd4c5ec: しずくちゃんがご主人の薄い本を作るの？
[31:22] @User_3af19f71: 外付けのNN群という記憶媒体
[31:27] @User_b73a3cd7: でもしずくの株式はまだできてないんでしょ・・・？
[31:28] @User_af0e3cda: 右腕ってこと働かせられるってことで？
[31:30] @User_68c37264: ガラスもデジタルデータ記憶媒体になるらしいよ。SSDから乗り換えだ
[31:37] @User_045fd235: しずくの本どんな話だろう🤔
[31:48] @User_b68b8d0b: パンパカポー！
[31:50] @User_88ae5584: しずくレーザーディスク
[31:53] @User_6d22a488: Activation combat modo
[32:03] @User_045fd235: しずくのカラオケ配信が見たい
[32:05] @User_4e5df674: BGMいいな
[32:07] @User_92c2a2e1: 主語がでかいw
[32:10] @User_47ccb160: 发直播预告的时候能不能把时区标注一下()生放送予告を送るときにタイムゾーンをマークしてもらえますか？)
[32:16] @User_b73a3cd7: まあ今のメモリも途中段階でしかないし、今後進化する可能性あるしな
[32:30] @User_af0e3cda: 段ボールあったらしずくがいると思え！
[32:46] @User_3af19f71: 落としたパンを温めて食べるの
[32:46] @User_9de46bcb: MGSPWにあったな…二人用のラブダンボール
[33:00] @User_88ae5584: しずくの本ってなんかセンシティブｗ
[33:03] @User_0751797b: 温めたすかる
